percentchange,high,symbol,price,open,relvolume,low,watchers,hourchange,sentiment
-0.2502,462.865,NOC,460.415,460.46,0.3373,458.615,8023,3,0.0
1.1051,284.46,MSFT,283.61,284.23,0.5994,281.5,442593,5,2.31
1.4861,274.99,NVDA,273.85,272.29,0.6352,271.02,420565,7,2.55
1.159,208.09,META,207.73,203.38,0.6132,202.85,512294,4,6.27
0.6864,214.19,ENPH,205.35,209.435,0.6299,203.96,37319,0,-2.23
1.0109,197.328,TSLA,195.84,195.58,0.5925,194.42,889738,4,5.7
0.7744,162.47,AAPL,162.015,161.53,0.5448,161.271,876775,3,4.67
-0.3855,131.47,IBM,129.21,130.16,0.4909,129.1,51348,0,8.71
-0.4878,130.12,JPM,128.51,129.95,0.7355,127.65,82475,0,3.37
-0.1217,120.05,EA,119.045,120.0,0.4513,118.85,20710,0,5.56
1.67,103.04,AMZN,101.9242,101.55,0.6447,101.01,587434,7,5.86
-0.5079,101.155,GOOGL,100.875,100.91,0.6291,99.78,159881,2,3.16
1.8837,99.53,AMD,97.9,98.0,0.8478,97.25,456364,4,-4.31
1.6957,89.53,SONY,89.36,88.7,1.3549,88.64,2081,0,0.0
1.7925,32.58,INTC,32.085,31.85,1.3184,31.81,131055,-4,11.31
11.4358,9.0,CVNA,8.77,8.08,0.5508,8.079,23366,1,-6.96
-0.2609,5.93,SOFI,5.735,5.87,0.5973,5.62,91775,-2,-0.21
-1.9,5.16,AMC,4.905,5.11,0.5153,4.87,412490,-4,1.11
