price,symbol,high,low,percentchange,open,relvolume,watchers,hourchange,sentiment
127.87,EA,128.53,127.45,-0.3196,127.98,0.4028,20705,0,10.0
208.9,ENPH,214.57,204.67,-0.3767,209.77,0.6939,37422,-1,-3.12
185.0,TSLA,186.28,182.01,-0.4841,183.95,0.5598,891426,-1,0.26
90.86,SONY,91.46,90.412,0.4089,90.85,0.8867,2088,0,0.0
31.89,INTC,32.235,31.69,-0.747,32.0,0.4201,131240,0,-1.8
5.92,SOFI,6.03,5.77,1.0239,5.99,0.6398,91899,0,-0.69
5.12,AMC,5.75,4.9,-6.2271,5.74,0.9005,413215,1,-0.34
472.57,NOC,473.09,468.765,-0.3353,470.55,0.3372,8040,-1,13.33
91.75,AMD,92.97,90.5,-0.3692,91.82,0.5911,456770,2,-0.1
286.14,MSFT,288.48,283.69,-1.2766,287.0,0.5743,443399,3,-0.53
267.58,NVDA,268.83,262.2,1.1148,265.04,0.7461,421595,5,-1.17
8.97,CVNA,9.798,8.68,-4.2689,9.47,0.3345,23324,-4,-2.06
221.49,META,222.11,217.56,0.5174,217.88,0.6378,512854,4,0.74
128.14,IBM,129.84,127.31,0.1876,128.46,0.6373,51370,0,-6.94
102.51,AMZN,103.2013,101.11,0.1074,102.07,0.7199,588470,2,0.81
138.73,JPM,139.12,134.9001,7.551,135.15,3.0765,82932,2,6.75
108.87,GOOGL,108.935,106.88,1.3404,106.89,0.566,160400,-4,-1.51
165.21,AAPL,166.32,163.83,-0.2114,164.59,0.6406,877855,3,1.39
