price,low,percentchange,high,relvolume,open,symbol,watchers,hourchange,sentiment
9.325,8.63,3.4961,9.35,0.3262,9.0,CVNA,23319,0,1.53
125.59,123.74,0.3436,125.8,0.3892,124.79,EA,20704,0,8.08
289.1,284.72,-0.8573,289.6,0.6369,289.208,MSFT,443156,3,-0.89
102.175,99.57,0.1127,102.2,0.5167,100.96,AMZN,588086,7,-0.52
5.22,4.74,6.5306,5.37,1.2692,4.77,AMC,413139,-2,0.7
195.75,188.51,2.4869,195.795,0.4136,189.09,ENPH,37405,2,-1.82
95.4601,91.02,3.2336,95.79,0.7903,91.32,AMD,456692,3,7.34
275.74,266.69,1.9862,276.2099,0.7128,268.23,NVDA,421301,0,2.51
476.48,471.57,1.2947,478.12,0.4565,470.98,NOC,8041,0,-8.33
5.915,5.66,2.8696,5.92,0.5343,5.69,SOFI,91904,1,0.46
214.7494,210.66,-0.625,215.66,0.4571,214.71,META,512687,-1,-0.87
127.905,126.22,0.3413,128.22,0.5624,126.54,JPM,82588,0,-2.58
161.94,160.08,-1.6519,161.95,0.6369,162.43,AAPL,877519,8,-2.8
88.51,87.73,0.3856,88.51,0.4657,87.76,SONY,2087,0,0.0
106.44,105.12,-1.8262,107.59,0.6059,106.98,GOOGL,160292,4,-0.08
32.515,32.2,-0.8991,32.76,0.4854,32.6,INTC,131216,-4,0.51
184.395,176.11,-0.3593,185.0994,0.8207,179.94,TSLA,891036,1,-0.7
131.04,129.24,0.4138,131.05,0.3796,129.83,IBM,51367,0,-2.12
