open,high,low,percentchange,symbol,relvolume,price,watchers,hourchange,sentiment
472.0,474.3,469.78,0.3236,NOC,0.2478,474.3,8038,0,-8.57
283.59,288.8,283.17,1.8519,MSFT,0.416,288.74,443339,9,-1.93
267.34,268.869,263.29,1.2455,NVDA,0.4917,268.25,421486,2,-3.55
215.73,220.37,215.82,2.8925,META,0.4846,220.19,512786,7,1.88
200.01,210.965,198.52,7.5652,ENPH,0.7292,210.86,37419,2,-1.26
182.955,186.4193,180.94,3.1683,TSLA,0.5332,186.26,891307,8,-0.16
161.63,165.34,161.44,3.2605,AAPL,0.5994,165.32,877728,3,0.22
128.46,128.77,126.84,0.0389,JPM,0.5181,128.55,82658,14,-5.66
126.58,128.72,126.58,1.5222,EA,0.2909,128.05,20703,0,0.0
128.01,128.0,126.01,-0.4551,IBM,0.583,127.955,51367,3,5.26
105.84,107.47,105.9,2.6758,GOOGL,0.3788,107.44,160360,-1,-0.48
98.95,102.46,98.73,4.7225,AMZN,0.6856,102.45,588350,6,3.23
92.79,93.16,91.83,0.1722,AMD,0.4683,92.489,456752,6,1.85
90.1,90.7,90.0,1.3417,SONY,0.4274,90.64,2088,0,0.0
31.82,32.37,31.65,0.9838,INTC,0.3179,32.335,131230,0,-0.14
9.27,9.76,9.201,4.329,CVNA,0.2461,9.64,23336,-3,0.65
5.91,5.98,5.825,2.1478,SOFI,0.3728,5.945,91919,1,0.89
5.48,5.66,5.3975,3.221,AMC,0.3938,5.512,413218,-3,-2.73
