relvolume,low,high,price,open,symbol,percentchange,watchers,hourchange,sentiment
0.7919,443.105,456.2,455.25,445.08,NOC,2.4323,8013,0,-6.06
1.3895,86.96,88.3,87.53,88.3,SONY,-0.8383,2082,0,0.0
0.8619,263.55,271.67,267.79,270.31,NVDA,-1.5152,420189,4,-1.04
0.7429,275.3,280.63,280.57,277.24,MSFT,1.048,442243,5,-0.91
0.6983,157.85,160.34,160.25,158.86,AAPL,0.8306,876387,6,-2.25
0.2716,7.95,8.47,8.19,8.18,CVNA,-1.9162,23423,0,-0.9
1.0179,96.74,99.52,97.95,99.18,AMD,-2.3235,456183,-5,-3.28
0.8771,192.46,203.55,195.99,202.35,ENPH,-4.2363,37277,3,4.76
0.6283,122.89,125.4,125.29,123.36,IBM,1.5563,51325,0,-2.69
0.8715,117.61,119.205,119.03,118.08,EA,2.5767,20720,1,7.14
0.283,4.38,4.54,4.47,4.4,AMC,0.0,411924,0,-0.03
0.4643,5.645,5.83,5.74,5.675,SOFI,-0.692,91705,0,-0.16
1.0801,28.93,29.81,29.36,29.04,INTC,1.1368,130871,2,-1.12
0.6949,96.4,98.295,98.13,98.065,AMZN,-0.5876,587041,1,-1.17
0.7884,203.55,207.574,206.01,205.18,META,0.8469,512045,-15,0.97
1.496,123.1163,125.68,124.91,125.63,JPM,-1.5216,82363,0,-0.56
0.6651,103.84,105.49,105.44,104.99,GOOGL,-0.1515,159717,2,-3.93
0.6231,187.15,192.36,190.41,191.65,TSLA,-0.9416,889278,1,-1.41
