symbol,price,low,high,open,percentchange,relvolume,watchers,hourchange,sentiment
AMC,4.97,4.865,5.16,5.11,-0.6,0.5325,412471,1,0.75
AAPL,162.36,161.271,162.47,161.53,0.989,0.5827,876773,2,4.34
MSFT,284.05,281.5,284.46,284.23,1.262,0.6427,442605,5,-0.15
META,207.84,202.85,208.09,203.38,1.2126,0.6432,512306,5,6.08
ENPH,205.27,203.96,214.19,209.435,0.6472,0.6629,37320,-1,-2.39
JPM,128.75,127.65,130.12,129.95,-0.302,0.7826,82477,3,1.21
GOOGL,100.89,99.78,101.155,100.91,-0.4931,0.6807,159894,4,2.76
SOFI,5.72,5.62,5.93,5.87,-0.5217,0.6344,91770,1,-1.7
INTC,32.09,31.81,32.58,31.85,1.8084,1.4198,131059,5,4.5
AMZN,102.0,101.01,103.04,101.55,1.7456,0.6777,587428,3,3.47
AMD,97.88,97.25,99.53,98.0,1.8628,0.8812,456364,0,-2.74
NOC,460.98,458.5,462.92,460.46,-0.1278,0.3938,8023,0,0.0
IBM,129.22,129.1,131.48,130.16,-0.3778,0.5487,51343,0,8.38
EA,119.1,118.85,120.05,120.0,-0.0755,0.5217,20710,0,5.56
CVNA,8.83,8.0748,9.0,8.08,12.1982,0.5721,23362,0,-4.62
TSLA,195.28,194.42,197.328,195.58,0.7221,0.6092,889755,4,4.2
NVDA,273.83,271.02,274.99,272.29,1.4787,0.6652,420573,3,2.26
SONY,89.31,88.555,89.53,88.7,1.6388,1.4544,2082,0,0.0
