symbol,low,high,open,percentchange,relvolume,price,watchers,hourchange,sentiment
NOC,469.78,476.065,472.0,0.3321,0.3826,474.34,8037,0,-8.57
INTC,31.65,32.4252,31.82,0.2655,0.474,32.105,131231,1,3.64
GOOGL,105.9,107.49,105.84,2.6758,0.5101,107.44,160364,0,-0.54
EA,126.58,128.72,126.58,1.7204,0.4634,128.3,20703,0,6.67
SONY,90.0,90.83,90.1,1.174,0.7734,90.49,2088,0,0.0
META,215.82,221.15,215.73,2.9533,0.6771,220.32,512791,0,2.16
TSLA,180.94,186.5,182.955,2.9467,0.6485,185.86,891320,7,0.62
AMD,91.83,93.16,92.79,-0.3249,0.6105,92.03,456762,8,2.37
ENPH,198.52,211.55,200.01,6.9989,0.9909,209.7499,37416,0,-3.55
AMC,5.39,5.66,5.48,2.1536,0.5092,5.455,413217,0,-3.25
NVDA,263.29,268.869,267.34,-0.1472,0.6485,264.56,421494,3,-2.16
AAPL,161.44,165.8,161.63,3.4166,0.8567,165.57,877738,0,2.73
IBM,126.01,128.39,128.01,-0.4823,0.8901,127.92,51363,-2,6.11
AMZN,98.73,102.56,98.95,4.702,0.9312,102.43,588374,9,4.91
CVNA,9.201,9.76,9.27,1.4069,0.3162,9.37,23334,0,0.89
MSFT,283.17,289.9,283.59,2.2329,0.602,289.82,443344,6,-0.62
SOFI,5.825,5.98,5.91,0.5155,0.5437,5.85,91912,-1,1.13
JPM,126.84,129.035,128.46,0.3424,0.7779,128.94,82689,16,-0.48
