relvolume,symbol,open,low,percentchange,price,high,watchers,hourchange,sentiment
0.9318,TSLA,197.53,197.23,6.2372,207.46,207.79,889867,8,7.79
0.7363,AAPL,162.44,162.13,1.5644,164.9,165.0,876833,2,4.63
0.6957,EA,119.38,118.985,1.1335,120.45,120.53,20709,0,-7.14
0.7248,MSFT,283.73,283.03,1.4962,288.3,288.81,442657,3,2.56
0.7219,JPM,129.66,128.8514,1.2117,130.31,130.34,82484,-3,-2.86
0.6778,GOOGL,101.3,101.05,2.8149,103.73,103.89,159926,-2,4.08
0.6381,AMZN,102.16,101.95,1.2647,103.29,103.42,587480,3,2.05
1.4706,SONY,89.77,89.75,1.5004,90.65,90.92,2084,1,0.0
0.5809,IBM,129.47,129.42,1.4471,131.09,131.23,51346,0,2.13
0.7758,NVDA,271.4,271.05,1.4388,277.77,278.34,420630,3,4.13
0.544,ENPH,206.02,205.81,2.4407,210.28,212.12,37334,2,-1.0
1.0566,SOFI,5.75,5.67,6.1189,6.07,6.17,91784,3,0.85
0.4159,NOC,462.98,459.45,0.1605,461.72,463.32,8026,0,0.0
0.653,META,207.24,206.77,1.9727,211.94,212.17,512329,-12,4.29
0.4763,AMC,4.91,4.87,0.8048,5.01,5.055,412477,4,-0.06
1.0575,INTC,31.8,31.74,1.8074,32.67,32.8998,131096,4,0.0
0.8317,AMD,96.34,95.27,0.1328,98.01,98.36,456390,0,3.74
0.475,CVNA,8.9,8.77,10.872,9.79,9.79,23376,15,2.91
