percentchange,high,low,relvolume,open,symbol,price,watchers,hourchange,sentiment
-0.0828,462.27,457.495,0.2367,459.38,NOC,458.62,8021,0,25.0
1.5405,280.65,278.41,0.4329,278.96,MSFT,279.47,442530,0,-1.71
1.8479,270.6697,265.97,0.5511,268.25,NVDA,268.9804,420470,0,-1.37
2.2474,205.28,202.54,0.3829,203.56,META,205.19,512243,1,0.12
5.9425,205.25,191.385,0.5949,196.75,ENPH,205.02,37308,1,-0.62
1.6572,195.28,189.44,0.5728,193.13,TSLA,192.3252,889638,9,0.48
1.6619,160.46,159.35,0.4567,159.37,AAPL,160.27,876718,11,-0.3
0.163,130.348,129.18,0.33,130.12,IBM,129.5508,51343,-1,0.76
0.1785,130.22,128.72,0.5604,130.1,JPM,129.1101,82460,1,-0.93
0.8982,119.11,118.08,0.2521,118.08,EA,119.08,20708,-1,0.0
0.292,102.43,100.655,0.4711,102.28,GOOGL,101.325,159836,0,4.31
2.9206,100.29,98.5801,0.4877,98.69,AMZN,100.08,587352,2,1.22
1.3748,96.91,94.87,0.6584,96.07,AMD,95.86,456332,0,-0.21
2.1732,87.74,86.74,0.7616,86.93,SONY,87.685,2084,0,0.0
7.1185,31.46,29.789,1.1673,29.77,INTC,31.375,130911,8,7.05
5.5027,7.7701,7.37,0.1774,7.47,CVNA,7.765,23365,1,-7.63
4.4723,5.9199,5.65,0.5531,5.69,SOFI,5.84,91762,2,-1.08
-3.6893,5.2084,4.83,0.68,5.14,AMC,4.96,412480,-5,-0.59
