low,high,relvolume,open,price,symbol,percentchange,watchers,hourchange,sentiment
203.96,214.19,0.6629,209.435,205.27,ENPH,0.6472,37321,2,-2.15
161.271,162.47,0.5827,161.53,162.36,AAPL,0.989,876782,7,5.16
127.65,130.12,0.7826,129.95,128.75,JPM,-0.302,82474,-1,2.99
202.85,208.09,0.6432,203.38,207.84,META,1.2126,512294,0,6.27
99.78,101.155,0.6807,100.91,100.89,GOOGL,-0.4931,159881,0,3.75
5.62,5.93,0.6344,5.87,5.72,SOFI,-0.5217,91769,-6,-0.21
31.81,32.58,1.4198,31.85,32.09,INTC,1.8084,131051,-4,9.96
101.01,103.04,0.6777,101.55,102.0,AMZN,1.7456,587436,2,5.02
97.25,99.53,0.8812,98.0,97.88,AMD,1.8628,456364,0,-1.07
458.5,462.92,0.3938,460.46,460.98,NOC,-0.1278,8023,0,0.0
129.1,131.47,0.5487,130.16,129.22,IBM,-0.3778,51348,0,8.71
281.5,284.46,0.6427,284.23,284.05,MSFT,1.262,442596,3,2.12
88.555,89.53,1.4544,88.7,89.31,SONY,1.6388,2082,1,0.0
118.85,120.05,0.5217,120.0,119.1,EA,-0.0755,20710,0,5.56
194.42,197.328,0.6092,195.58,195.28,TSLA,0.7221,889736,-2,5.7
4.87,5.16,0.5325,5.11,4.97,AMC,-0.6,412480,-10,0.95
8.079,9.0,0.5721,8.08,8.83,CVNA,12.1982,23364,-2,-5.37
271.02,274.99,0.6652,272.29,273.83,NVDA,1.4787,420566,1,5.05
