price,relvolume,low,open,high,percentchange,symbol,watchers,hourchange,sentiment
477.07,0.4242,476.24,480.46,482.74,-0.5006,NOC,8043,0,6.06
279.31,0.6812,272.32,273.61,280.0,0.9542,NVDA,421918,0,2.9
89.94,0.5543,88.22,88.51,90.54,0.1782,AMD,456896,-3,0.9
104.3,0.8364,101.39,101.58,105.12,1.955,AMZN,588745,9,2.6
104.18,0.4564,103.07,103.58,104.98,-0.3062,GOOGL,160558,2,-0.17
126.32,0.9493,125.3,126.5,126.98,-1.1426,IBM,51409,4,1.48
215.7,0.4728,212.94,213.472,217.33,-1.0051,META,512956,-3,3.28
141.22,0.5763,140.41,141.23,141.5,-0.1273,JPM,82989,0,-0.68
128.18,0.3668,128.075,128.58,128.9,-0.6665,EA,20705,1,10.0
8.63,0.2952,8.3,8.6,8.84,-1.9318,CVNA,23284,-1,-4.39
90.97,0.5063,90.73,91.0,91.12,-0.3724,SONY,2087,1,0.0
180.59,0.6315,177.65,179.1,183.5,-2.0183,TSLA,891999,25,0.78
6.08,0.4953,5.87,5.9,6.1,1.6722,SOFI,91963,16,0.91
288.45,0.4744,284.54,285.99,289.05,0.0277,MSFT,443647,3,5.34
224.27,0.5032,222.3,225.06,228.49,-1.5798,ENPH,37475,-1,-0.26
167.63,0.6395,165.54,165.8,168.16,0.6968,AAPL,878179,3,4.2
31.15,0.4343,31.0828,31.1,31.52,-2.1363,INTC,131281,2,0.0
5.1,0.3154,4.92,4.95,5.17,0.9901,AMC,413181,-2,-1.52
