low,percentchange,symbol,relvolume,open,price,high,watchers,hourchange,sentiment
210.66,-0.6247,META,0.4571,214.71,214.75,215.66,512691,0,-1.58
123.74,0.3675,EA,0.3892,124.79,125.62,125.8,20703,0,4.44
32.2,-0.8839,INTC,0.4854,32.6,32.52,32.76,131212,0,-1.66
129.24,0.4061,IBM,0.3796,129.83,131.03,131.08,51364,0,-1.29
8.62,3.3296,CVNA,0.3262,9.0,9.31,9.35,23315,0,3.76
284.72,-0.7579,MSFT,0.6369,289.208,289.39,289.6,443168,-2,-1.96
176.11,-0.2972,TSLA,0.8207,179.94,184.51,185.0994,891052,7,-0.34
99.57,0.1078,AMZN,0.5167,100.96,102.17,102.2,588100,0,-1.28
188.51,2.5131,ENPH,0.4136,189.09,195.8,195.9,37408,1,-1.82
4.74,6.9388,AMC,1.2692,4.77,5.24,5.37,413139,3,1.13
470.98,1.3074,NOC,0.4565,470.98,476.54,478.17,8041,0,-16.67
91.02,3.2551,AMD,0.7903,91.32,95.48,95.79,456699,0,8.86
266.69,2.0047,NVDA,0.7128,268.23,275.79,276.2099,421316,5,2.08
5.66,2.7826,SOFI,0.5343,5.69,5.91,5.92,91908,-1,0.55
160.08,-1.5972,AAPL,0.6369,161.42,162.03,162.03,877532,3,-4.57
126.22,0.3295,JPM,0.5624,126.54,127.89,128.23,82595,0,-2.86
105.12,-1.8262,GOOGL,0.6059,106.98,106.44,107.59,160302,1,0.22
87.73,0.3856,SONY,0.4657,87.76,88.51,88.52,2088,0,0.0
