open,price,percentchange,relvolume,high,low,symbol,watchers,hourchange,sentiment
89.77,90.65,1.5004,1.4706,90.92,89.75,SONY,2084,0,0.0
271.4,277.77,1.4388,0.7758,278.34,271.05,NVDA,420632,3,4.22
206.02,210.28,2.4407,0.544,212.12,205.81,ENPH,37334,0,0.66
129.47,131.09,1.4471,0.5809,131.23,129.42,IBM,51344,0,2.13
462.98,461.72,0.1605,0.4159,463.32,459.45,NOC,8029,0,0.0
4.91,5.01,0.8048,0.4763,5.055,4.87,AMC,412477,3,0.08
5.75,6.07,6.1189,1.0566,6.17,5.67,SOFI,91790,4,1.84
207.24,211.94,1.9727,0.653,212.17,206.77,META,512339,5,4.32
31.8,32.67,1.8074,1.0575,32.8998,31.74,INTC,131091,0,0.69
96.34,98.01,0.1328,0.8317,98.36,95.27,AMD,456392,3,3.13
162.44,164.9,1.5644,0.7363,165.0,162.13,AAPL,876845,5,4.7
197.53,207.46,6.2372,0.9318,207.79,197.23,TSLA,889888,3,8.06
8.9,9.79,10.872,0.475,9.79,8.77,CVNA,23366,-5,6.93
283.73,288.3,1.4962,0.7248,288.81,283.03,MSFT,442667,3,2.07
119.38,120.45,1.1335,0.6957,120.53,118.985,EA,20709,0,0.0
129.66,130.31,1.2117,0.7219,130.34,128.8514,JPM,82481,0,-2.99
101.3,103.73,2.8149,0.6778,103.89,101.05,GOOGL,159932,3,2.16
102.16,103.29,1.2647,0.6381,103.42,101.95,AMZN,587493,-4,3.46
