relvolume,percentchange,low,symbol,open,price,high,watchers,hourchange,sentiment
0.674,2.4737,189.44,TSLA,193.13,193.87,195.28,889638,9,0.48
0.2295,6.8057,7.37,CVNA,7.47,7.8609,7.9,23365,1,-7.63
0.4098,0.9744,118.08,EA,118.08,119.17,119.325,20708,-1,0.0
0.4977,0.2783,129.18,IBM,130.12,129.7,130.348,51343,-1,0.76
0.6109,1.9029,159.35,AAPL,159.37,160.65,161.04,876718,11,-0.3
0.4154,0.5697,457.495,NOC,459.38,461.615,462.27,8021,0,25.0
0.5914,1.8821,278.41,MSFT,278.96,280.41,281.1398,442530,0,-1.71
0.5083,2.2822,202.54,META,203.56,205.26,205.72,512243,1,0.12
0.7093,2.1658,265.97,NVDA,268.25,269.82,270.77,420470,0,-1.37
0.7071,2.8623,5.65,SOFI,5.69,5.75,5.9199,91762,2,-1.08
0.6207,3.0389,98.5801,AMZN,98.69,100.195,100.4218,587352,2,1.22
0.9598,0.2017,127.77,JPM,130.1,129.14,130.22,82460,1,-0.93
0.6183,0.2672,100.655,GOOGL,102.28,101.3,102.43,159836,0,4.31
0.7832,5.3896,191.385,ENPH,196.75,203.95,205.77,37308,1,-0.62
1.1442,2.3538,86.74,SONY,86.93,87.84,88.0,2084,0,0.0
0.8339,1.5651,94.87,AMD,96.07,96.04,96.91,456332,0,-0.21
0.765,-3.0408,4.83,AMC,5.14,4.9934,5.2084,412480,-5,-0.59
1.6683,7.5623,29.789,INTC,29.77,31.505,31.89,130911,8,7.05
