low,open,high,symbol,relvolume,percentchange,price,watchers,hourchange,sentiment
160.08,161.42,162.03,AAPL,0.6369,-1.5972,162.03,877523,3,-3.62
210.66,214.71,215.66,META,0.4571,-0.6247,214.75,512686,0,-1.18
126.22,126.54,128.23,JPM,0.5624,0.3295,127.89,82589,2,-2.49
87.73,87.76,88.52,SONY,0.4657,0.3856,88.51,2088,1,0.0
105.12,106.98,107.59,GOOGL,0.6059,-1.8262,106.44,160299,3,-0.02
129.24,129.83,131.08,IBM,0.3796,0.4061,131.03,51366,0,-1.68
32.2,32.6,32.76,INTC,0.4854,-0.8839,32.52,131210,-2,-0.81
123.74,124.79,125.8,EA,0.3892,0.3675,125.62,20703,0,8.08
176.11,179.94,185.0994,TSLA,0.8207,-0.2972,184.51,891035,0,-0.31
284.72,289.208,289.6,MSFT,0.6369,-0.7579,289.39,443161,0,-1.38
8.62,9.0,9.35,CVNA,0.3262,3.3296,9.31,23316,-2,3.21
99.57,100.96,102.2,AMZN,0.5167,0.1078,102.17,588091,9,-0.46
4.74,4.77,5.37,AMC,1.2692,6.9388,5.24,413139,-1,0.61
470.98,470.98,478.17,NOC,0.4565,1.3074,476.54,8041,0,-16.67
188.51,189.09,195.9,ENPH,0.4136,2.5131,195.8,37403,0,-2.15
5.66,5.69,5.92,SOFI,0.5343,2.7826,5.91,91907,1,1.0
91.02,91.32,95.79,AMD,0.7903,3.2551,95.48,456694,0,8.89
266.69,268.23,276.2099,NVDA,0.7128,2.0047,275.79,421311,7,2.28
