symbol,price,relvolume,percentchange,low,open,high,watchers,hourchange,sentiment
NVDA,257.25,1.3828,0.7204,256.68,259.82,263.99,419172,3,4.19
CVNA,7.65,0.4207,3.2389,7.02,7.21,7.9,23307,0,0.95
IBM,123.69,2.0994,-0.8099,122.93,124.08,124.52,51322,0,6.08
AMD,97.84,1.4973,1.2836,95.94,96.66,98.75,455814,0,1.38
TSLA,180.13,0.6722,-2.1724,177.33,184.515,186.21,888615,10,2.68
JPM,125.81,2.2173,-3.7782,125.45,128.38,128.48,82027,0,4.98
META,195.61,1.116,-4.5479,195.4304,200.56,201.9,511604,0,-0.47
MSFT,279.43,1.7577,1.1694,276.3201,278.26,283.33,441729,6,0.25
SOFI,5.46,0.6642,0.1835,5.33,5.47,5.54,91544,3,5.24
AMC,4.18,0.6185,-4.7836,4.108,4.3,4.34,411733,7,0.06
NOC,443.6,0.8804,-1.4551,441.305,449.81,450.16,7997,1,1.11
AMZN,98.95,0.8764,-1.0896,97.455,99.79,100.65,586541,7,2.83
EA,113.35,0.7406,-0.1585,112.98,113.65,114.0,20736,0,-25.0
GOOGL,101.62,1.2376,1.2959,100.1,100.26,102.835,159508,8,1.8
INTC,29.81,1.0943,-1.226,29.44,29.92,30.56,130790,-1,-3.05
AAPL,155.0,0.9896,-0.5454,154.28,156.08,156.74,875791,15,5.25
ENPH,183.64,1.684,-8.6822,181.55,200.7,200.7,37095,9,-3.83
SONY,86.52,1.0052,0.1505,86.18,87.25,87.47,2077,0,33.33
