price,relvolume,open,symbol,high,percentchange,low,watchers,hourchange,sentiment
461.3611,0.2983,460.46,NOC,462.865,-0.0453,458.615,8023,3,0.0
283.635,0.5661,284.23,MSFT,284.46,1.114,281.5,442593,5,2.31
274.23,0.6011,272.29,NVDA,274.99,1.6269,271.02,420565,7,2.55
207.575,0.5806,203.38,META,208.09,1.0835,202.85,512294,4,6.27
205.935,0.6037,209.435,ENPH,214.19,0.9733,203.96,37319,0,-2.23
195.72,0.5707,195.58,TSLA,197.328,0.949,194.42,889738,4,5.7
162.145,0.5186,161.53,AAPL,162.47,0.8553,161.271,876775,3,4.67
129.25,0.4512,130.16,IBM,131.47,-0.3546,129.1,51348,0,8.71
128.37,0.6963,129.95,JPM,130.12,-0.5963,127.65,82475,0,3.37
119.09,0.4138,120.0,EA,120.05,-0.0839,118.85,20710,0,5.56
101.9598,0.616,101.55,AMZN,103.04,1.7055,101.01,587434,7,5.86
100.92,0.5875,100.91,GOOGL,100.96,-0.4636,99.78,159881,2,3.16
98.145,0.8046,98.0,AMD,99.53,2.1386,97.25,456364,4,-4.31
89.48,1.2527,88.7,SONY,89.53,1.8323,88.64,2081,0,0.0
32.155,1.2579,31.85,INTC,32.58,2.0146,31.81,131055,-4,11.31
8.765,0.5323,8.08,CVNA,9.0,11.3723,8.079,23366,1,-6.96
5.715,0.5613,5.87,SOFI,5.93,-0.6087,5.62,91775,-2,-0.21
4.915,0.502,5.11,AMC,5.16,-1.7,4.87,412490,-4,1.11
