symbol,relvolume,high,low,percentchange,open,price,watchers,hourchange,sentiment
NVDA,0.8619,271.67,263.55,-1.5152,270.31,267.79,420203,3,-1.13
CVNA,0.2716,8.47,7.95,-1.9162,8.18,8.19,23415,-2,-0.45
AMD,1.0179,99.52,96.74,-2.3235,99.18,97.95,456186,2,-2.47
IBM,0.6283,125.4,122.88,1.5563,123.36,125.29,51329,0,-2.11
AAPL,0.6983,160.34,157.85,0.8306,158.86,160.25,876399,2,-1.16
MSFT,0.7429,280.63,275.3,1.048,277.24,280.57,442262,4,0.64
NOC,0.7919,456.2,443.105,2.4323,445.08,455.25,8012,0,-10.23
EA,0.8715,119.205,117.61,2.5767,118.08,119.03,20721,1,0.0
SOFI,0.4643,5.83,5.645,-0.692,5.675,5.74,91710,2,-0.35
AMC,0.283,4.54,4.38,0.0,4.4,4.47,411928,1,0.31
INTC,1.0801,29.81,28.93,1.1368,29.04,29.36,130869,0,-2.05
AMZN,0.6949,98.295,96.4,-0.5876,98.065,98.13,587054,1,-0.83
META,0.7884,207.574,203.55,0.8469,205.18,206.01,512052,1,2.76
TSLA,0.6231,192.36,187.15,-0.9416,191.65,190.41,889291,4,-1.08
GOOGL,0.6651,105.49,103.84,-0.1515,104.99,105.44,159720,0,-3.23
SONY,1.3895,88.3,86.96,-0.8383,88.3,87.53,2082,0,0.0
ENPH,0.8771,203.55,192.46,-4.2363,202.35,195.99,37276,0,4.82
JPM,1.496,125.68,123.11,-1.5216,125.63,124.91,82377,1,0.12
