open,relvolume,low,symbol,percentchange,price,high,watchers,hourchange,sentiment
166.1,0.6295,165.65,AAPL,0.7505,166.47,167.41,878103,5,4.02
106.49,0.5757,104.07,GOOGL,-1.3872,104.5,106.515,160554,0,-2.58
187.15,0.5393,183.5887,TSLA,-1.4596,184.31,187.69,891803,5,-0.63
9.22,0.2683,8.76,CVNA,-2.8698,8.8,9.285,23295,-2,-4.4
219.91,0.3488,216.215,META,-0.4432,217.89,220.44,512948,2,0.77
291.57,0.5165,287.02,MSFT,-0.1489,288.37,291.6,443617,-3,5.01
140.27,0.8356,139.03,JPM,1.1228,141.4,141.78,82990,0,-0.58
225.43,0.8254,222.23,ENPH,1.3116,227.87,231.31,37487,1,-1.3
475.74,0.6483,475.74,NOC,0.9857,479.47,483.4,8043,0,-11.11
103.95,0.555,101.52,AMZN,-0.4283,102.3,104.2,588663,0,1.5
128.81,0.5166,127.82,EA,0.7495,129.04,129.38,20704,0,0.0
128.14,0.4769,127.35,IBM,-0.0313,127.78,128.68,51378,0,-0.62
6.0,0.4567,5.895,SOFI,0.3356,5.98,6.02,91919,0,-1.09
5.23,0.3403,4.98,AMC,-2.8846,5.05,5.212,413179,-2,-1.84
32.43,0.4755,31.785,INTC,-0.9645,31.83,32.46,131278,0,0.54
275.335,1.1798,273.57,NVDA,2.4628,276.67,281.0802,421849,4,0.13
91.61,0.6994,89.33,AMD,-0.1001,89.78,92.16,456872,1,2.98
91.57,0.8545,90.99,SONY,0.1755,91.31,91.86,2087,0,0.0
