symbol,percentchange,relvolume,price,low,high,open,watchers,hourchange,sentiment
META,1.9727,0.653,211.94,206.77,212.17,207.24,512329,0,3.58
INTC,1.8074,1.0575,32.67,31.74,32.8998,31.8,131094,-2,0.0
AMD,0.1328,0.8317,98.01,95.27,98.36,96.34,456390,0,4.01
CVNA,10.872,0.475,9.79,8.77,9.79,8.9,23373,-3,7.44
TSLA,6.2372,0.9318,207.46,197.23,207.79,197.53,889873,6,7.81
EA,1.1335,0.6957,120.45,118.985,120.53,119.38,20709,0,-7.14
AAPL,1.5644,0.7363,164.9,162.13,165.0,162.44,876843,10,4.88
MSFT,1.4962,0.7248,288.3,283.03,288.81,283.73,442661,4,2.56
JPM,1.2117,0.7219,130.31,128.8514,130.34,129.66,82483,-1,-2.19
GOOGL,2.8149,0.6778,103.73,101.05,103.89,101.3,159928,2,3.22
AMZN,1.2647,0.6381,103.29,101.95,103.42,102.16,587485,5,2.35
SONY,1.5004,1.4706,90.65,89.79,90.92,89.77,2084,0,0.0
IBM,1.4471,0.5809,131.09,129.42,131.22,129.47,51346,0,2.04
NVDA,1.4388,0.7758,277.77,271.05,278.34,271.4,420635,5,4.13
ENPH,2.4407,0.544,210.28,205.81,212.12,206.02,37336,2,-1.0
SOFI,6.1189,1.0566,6.07,5.67,6.17,5.75,91783,-1,0.97
NOC,0.1605,0.4159,461.72,459.45,463.4,462.98,8027,1,0.0
AMC,0.8048,0.4763,5.01,4.87,5.055,4.91,412473,-4,0.1
