symbol,low,relvolume,open,percentchange,price,high,watchers,hourchange,sentiment
NOC,468.94,0.2213,470.55,-0.9195,469.8,471.98,8041,0,8.57
MSFT,283.69,0.449,287.0,-1.4249,285.71,288.48,443391,2,0.4
NVDA,262.2,0.6153,265.04,0.6046,266.23,268.83,421572,5,-3.35
META,217.56,0.5237,217.88,0.0998,220.57,222.11,512832,-3,-0.62
ENPH,204.67,0.556,209.77,-0.9013,207.8,214.57,37424,-3,-7.15
TSLA,182.01,0.4632,183.95,-0.5164,184.94,186.28,891409,8,-0.26
AAPL,163.83,0.5107,164.59,-0.3564,164.97,166.32,877847,4,2.09
JPM,134.95,2.61,135.15,7.2564,138.35,139.12,82940,9,11.6
IBM,127.31,0.4489,128.46,-0.0938,127.78,129.84,51369,-1,1.26
EA,127.45,0.2824,127.98,-0.5847,127.53,128.53,20706,0,16.67
GOOGL,106.88,0.3978,106.89,0.8191,108.31,108.46,160401,7,-1.82
AMZN,101.11,0.5549,102.07,0.1173,102.5201,103.2013,588466,4,1.05
AMD,90.5,0.4813,91.82,-0.771,91.38,92.97,456768,-1,-0.28
SONY,90.412,0.5258,90.85,0.442,90.89,91.44,2088,0,0.0
INTC,31.69,0.3202,32.0,-0.887,31.845,32.235,131237,2,-0.65
CVNA,8.68,0.2814,9.47,-3.2017,9.07,9.798,23332,-1,-0.93
SOFI,5.77,0.5318,5.99,-0.0853,5.855,6.03,91914,0,0.07
AMC,4.92,0.6716,5.74,-9.185,4.9585,5.75,413226,0,-0.76
