symbol,open,high,low,price,relvolume,percentchange,watchers,hourchange,sentiment
AMZN,102.75,104.2,102.11,103.95,0.6103,1.5038,587808,6,2.07
NVDA,279.66,280.0,273.08,274.53,0.686,-1.8309,420956,5,0.16
GOOGL,104.33,105.58,104.04,104.72,0.5141,0.345,160050,0,3.96
AMC,4.08,4.45,3.88,3.91,2.4701,-23.4834,412848,5,-5.39
NOC,468.73,471.94,465.0,468.1,0.3915,-0.2323,8036,2,0.0
EA,121.43,125.47,121.23,125.24,1.0756,3.2056,20708,1,0.0
META,213.39,216.24,212.54,214.72,0.5769,0.7744,512519,-3,4.64
CVNA,9.44,9.72,8.93,9.5,0.3434,2.2605,23341,-2,-2.4
TSLA,197.32,198.7446,190.32,192.58,0.711,-1.1244,890506,7,0.4
AMD,97.038,97.27,95.21,95.87,0.6455,-0.7146,456545,2,-2.4
IBM,131.99,132.1499,130.89,131.6,0.5043,-0.3483,51358,0,0.0
SONY,90.78,91.145,90.36,91.01,0.9783,-0.3504,2087,0,0.0
ENPH,202.89,203.2,198.65,202.54,0.4624,-0.0296,37367,-1,0.49
SOFI,6.1,6.095,5.835,5.89,0.4678,-2.3217,91861,7,-0.56
INTC,32.85,33.84,32.85,33.1,1.059,0.6385,131187,3,2.73
JPM,130.5,130.59,127.41,128.42,0.702,-1.3368,82526,-2,7.52
AAPL,166.595,166.83,165.11,165.63,0.5431,-0.325,877179,3,1.04
MSFT,287.23,290.4499,285.67,287.18,0.6652,-0.0174,442893,6,-0.71
