price,symbol,open,low,relvolume,high,percentchange,watchers,hourchange,sentiment
4.27,AMC,4.25,4.14,0.4546,4.38,2.1531,411726,0,-0.43
449.26,NOC,445.27,445.36,0.4475,452.2,1.2759,8003,0,8.33
183.25,TSLA,178.08,176.35,0.6925,186.44,1.7321,888858,2,-0.39
101.22,GOOGL,100.12,99.88,0.7301,101.75,-0.3936,159582,1,-0.64
88.42,SONY,87.52,87.33,1.1668,89.16,2.196,2079,0,0.0
192.51,ENPH,189.59,185.2,1.1646,196.88,4.8301,37209,-3,1.58
157.4,AAPL,155.07,154.15,0.8489,157.81,1.5484,876027,1,-0.2
29.16,INTC,29.8,28.63,0.7742,29.9,-2.1805,130824,3,-1.08
259.0,NVDA,256.15,251.3,0.819,260.24,0.6803,419430,2,0.65
125.94,IBM,124.31,124.19,0.7973,126.1508,1.8191,51327,0,1.06
197.81,META,198.48,193.64,0.723,199.36,1.1247,511736,4,1.16
5.22,SOFI,5.47,5.19,0.8466,5.54,-4.3956,91589,1,1.08
113.52,EA,113.01,113.01,0.5323,114.28,0.15,20731,1,33.33
7.07,CVNA,7.43,6.87,0.3366,7.81,-7.5817,23279,3,-1.62
97.71,AMZN,98.41,95.7,0.7742,98.48,-1.2532,586764,7,0.79
272.23,MSFT,276.98,269.85,1.2161,277.48,-2.5767,441941,1,0.02
96.81,AMD,96.3,92.9,1.5349,96.94,-1.0527,455937,0,-0.84
127.14,JPM,126.99,126.01,1.609,129.46,1.0571,82205,-7,0.76
