open,price,low,relvolume,percentchange,high,symbol,watchers,hourchange,sentiment
91.61,89.78,89.33,0.6994,-0.1001,92.16,AMD,456871,0,2.83
166.1,166.47,165.65,0.6295,0.7505,167.41,AAPL,878090,0,3.72
187.15,184.31,183.5887,0.5393,-1.4596,187.69,TSLA,891798,3,-0.48
106.49,104.5,104.07,0.5757,-1.3872,106.515,GOOGL,160555,4,-2.45
219.91,217.89,216.215,0.3488,-0.4432,220.44,META,512944,-2,1.21
9.22,8.8,8.76,0.2683,-2.8698,9.285,CVNA,23300,0,-3.81
291.57,288.37,287.02,0.5165,-0.1489,291.6,MSFT,443622,0,4.33
140.27,141.4,139.03,0.8356,1.1228,141.78,JPM,82988,0,-0.05
128.81,129.04,127.82,0.5166,0.7495,129.38,EA,20704,0,0.0
475.74,479.47,475.74,0.6483,0.9857,483.4,NOC,8043,0,-8.33
225.43,227.87,222.23,0.8254,1.3116,231.31,ENPH,37486,0,-1.69
103.95,102.3,101.52,0.555,-0.4283,104.2,AMZN,588657,4,1.51
128.14,127.78,127.35,0.4769,-0.0313,128.68,IBM,51381,0,-0.62
6.0,5.98,5.895,0.4567,0.3356,6.02,SOFI,91918,1,-0.81
5.23,5.05,4.98,0.3403,-2.8846,5.212,AMC,413186,2,-1.95
275.335,276.67,273.57,1.1798,2.4628,281.0802,NVDA,421856,6,0.1
32.43,31.83,31.785,0.4755,-0.9645,32.46,INTC,131278,2,0.16
91.57,91.31,90.99,0.8545,0.1755,91.86,SONY,2086,0,0.0
