symbol,price,high,percentchange,low,relvolume,open,watchers,hourchange,sentiment
NOC,472.403,473.3,0.9192,467.85,0.3347,467.22,8036,-1,0.0
MSFT,284.4,287.145,-0.968,282.95,0.4634,285.85,442940,5,-3.89
NVDA,267.8,269.98,-2.4515,263.95,0.7802,268.29,421035,3,-4.44
META,211.77,215.19,-1.3739,209.95,0.4388,214.15,512550,5,-2.7
ENPH,192.63,201.62,-4.8929,187.73,0.7058,200.0,37375,3,-0.25
TSLA,186.36,190.68,-3.2298,183.76,0.6219,190.515,890592,10,-1.42
AAPL,163.145,165.05,-1.5003,161.8,0.5267,164.74,877243,0,-7.02
IBM,132.29,132.61,0.5243,131.47,0.2916,131.37,51358,0,0.0
JPM,127.71,128.14,0.2276,126.46,0.4535,126.8,82526,4,5.76
EA,125.643,126.245,0.3218,124.85,0.4642,125.24,20706,0,8.33
GOOGL,104.405,106.1,-0.3008,103.66,0.4952,105.78,160111,3,0.52
AMZN,101.585,103.91,-2.2751,100.7506,0.4595,103.91,587859,5,0.63
AMD,92.6113,94.5,-3.3991,91.36,0.6227,94.35,456572,1,-2.88
SONY,89.7,90.02,-1.4394,89.53,0.5309,89.9,2087,0,0.0
INTC,32.865,32.985,-0.71,32.335,0.5375,32.795,131187,-3,0.24
CVNA,8.5725,9.38,-9.7632,8.3901,0.2628,9.38,23332,-4,-1.8
SOFI,5.7,5.87,-3.2258,5.5801,0.6462,5.87,91868,0,0.36
AMC,4.036,4.09,3.2225,3.94,0.573,4.07,412889,-6,-2.65
