price,low,percentchange,open,high,relvolume,symbol,watchers,hourchange,sentiment
441.52,441.305,-1.9171,449.81,451.41,0.5655,NOC,7996,0,1.39
278.28,276.3201,0.7531,278.26,283.33,1.441,MSFT,441712,7,2.54
258.56,256.68,1.2333,259.82,263.99,1.1302,NVDA,419156,8,5.37
196.775,196.57,-3.9794,200.56,201.9,0.7842,META,511588,-1,1.32
182.8999,181.55,-9.0503,200.7,200.7,1.3224,ENPH,37072,17,-3.95
179.085,177.33,-2.7399,184.515,186.21,0.551,TSLA,888606,3,3.31
154.98,154.28,-0.5582,156.08,156.74,0.7886,AAPL,875776,2,5.56
125.6232,125.59,-3.9211,128.38,128.45,1.5743,JPM,82020,5,5.95
123.01,122.935,-1.3553,124.08,124.2,1.2088,IBM,51323,0,7.41
113.08,112.98,-0.3964,113.65,114.0,0.5311,EA,20736,0,0.0
101.27,100.1,0.947,100.26,102.835,0.9969,GOOGL,159499,3,2.66
98.52,97.455,-1.5194,99.79,100.65,0.7164,AMZN,586531,6,2.4
96.875,95.94,0.2847,96.66,98.75,1.1743,AMD,455809,4,2.76
86.605,86.19,0.2489,87.25,87.445,0.6529,SONY,2077,0,33.33
29.5591,29.44,-2.0573,29.92,30.56,0.7725,INTC,130791,0,-1.33
7.625,7.02,2.9015,7.21,7.9,0.3361,CVNA,23309,8,1.11
5.415,5.33,-0.6422,5.47,5.5,0.4242,SOFI,91540,-1,2.93
4.255,4.108,-3.0752,4.3,4.34,0.4305,AMC,411727,-2,0.17
