percentchange,symbol,open,price,high,low,relvolume,watchers,hourchange,sentiment
-0.774,NOC,470.55,470.49,471.98,468.94,0.2382,8041,0,8.57
-1.4767,MSFT,287.0,285.56,288.48,283.69,0.4737,443391,2,0.4
0.6726,NVDA,265.04,266.41,268.83,262.2,0.65,421572,5,-3.35
0.2632,META,217.88,220.93,222.11,217.56,0.5585,512832,-3,-0.62
-0.8584,ENPH,209.77,207.89,214.57,204.67,0.5853,37424,-3,-7.15
-0.4548,TSLA,183.95,185.0546,186.28,182.01,0.4911,891409,8,-0.26
-0.3267,AAPL,164.59,165.0191,166.32,163.83,0.5412,877847,4,2.09
7.3572,JPM,135.15,138.48,139.12,134.95,2.7234,82940,9,11.6
-0.3586,EA,127.98,127.82,128.53,127.45,0.3032,20706,0,16.67
-0.1174,IBM,128.46,127.7499,129.84,127.31,0.4774,51369,-1,1.26
1.0844,GOOGL,106.89,108.595,108.86,106.88,0.4472,160401,7,-1.82
0.1514,AMZN,102.07,102.555,103.2013,101.11,0.5945,588466,4,1.05
-0.8144,AMD,91.82,91.34,92.97,90.5,0.5091,456768,-1,-0.28
0.4531,SONY,90.85,90.9,91.44,90.412,0.5643,2088,0,0.0
-0.9026,INTC,32.0,31.84,32.235,31.69,0.336,131237,2,-0.65
-3.4152,CVNA,9.47,9.05,9.798,8.68,0.2918,23332,-1,-0.93
0.1706,SOFI,5.99,5.87,6.03,5.77,0.5524,91914,0,0.07
-7.6007,AMC,5.74,5.045,5.75,4.9,0.7498,413226,0,-0.76
