price,relvolume,high,open,symbol,low,percentchange,watchers,hourchange,sentiment
32.825,0.7132,32.985,32.795,INTC,32.335,-0.8308,131189,-2,-1.12
193.74,0.8384,201.62,200.0,ENPH,187.73,-4.3448,37379,2,0.69
101.05,0.5813,103.91,103.91,AMZN,100.7506,-2.7898,587861,-2,0.57
163.82,0.6702,165.05,164.74,AAPL,161.8,-1.0928,877252,4,-8.61
8.495,0.3189,9.38,9.38,CVNA,8.3901,-10.5789,23331,0,-1.57
126.19,0.7325,126.27,125.24,EA,124.85,0.7585,20706,0,0.0
284.4,0.5843,287.145,285.85,MSFT,282.95,-0.968,442943,0,-4.57
470.835,0.5536,473.58,467.22,NOC,467.85,0.5843,8036,0,0.0
127.57,0.609,128.14,126.8,JPM,126.46,0.1177,82526,0,3.59
92.6,0.7872,94.5,94.35,AMD,91.36,-3.4109,456574,-3,-2.38
211.5401,0.5446,215.19,214.15,META,209.95,-1.481,512549,-1,-3.89
4.0309,0.7224,4.09,4.07,AMC,3.94,3.0921,412890,1,-1.18
268.63,0.9568,269.98,268.29,NVDA,263.95,-2.1491,421051,5,-4.01
89.64,0.7198,90.02,89.9,SONY,89.53,-1.5053,2087,0,0.0
132.135,0.4187,132.61,131.37,IBM,131.47,0.4065,51365,6,0.0
185.48,0.7518,190.68,190.515,TSLA,183.76,-3.6868,890600,2,-1.08
104.52,0.6109,106.1,105.78,GOOGL,103.66,-0.191,160109,-5,-0.03
5.745,0.786,5.87,5.87,SOFI,5.5801,-2.4618,91869,2,0.68
