percentchange,symbol,relvolume,price,low,open,high,watchers,hourchange,sentiment
0.2148,NOC,0.358,473.585,471.38,472.99,477.68,8040,0,8.33
0.692,MSFT,0.5753,288.12,286.2,289.93,291.58,443539,0,1.84
0.5867,NVDA,0.5533,269.15,264.36,265.655,269.25,421729,6,-1.29
8.0182,ENPH,1.6082,225.65,214.7801,215.0,229.23,37465,5,3.35
-0.8917,META,0.4102,219.515,217.13,219.79,220.979,512902,4,0.56
1.0432,TSLA,0.6567,186.93,182.7,186.32,189.69,891638,14,0.61
-0.0241,AAPL,0.5069,165.1702,164.03,165.09,165.39,878005,7,1.79
0.4289,JPM,0.9211,139.325,137.66,139.95,140.06,82968,0,0.57
0.1877,EA,0.3914,128.11,127.14,127.37,128.42,20706,0,-10.0
-0.4565,IBM,0.4485,127.555,126.8,128.3,128.72,51377,0,-3.45
-2.6454,GOOGL,0.7781,105.99,104.52,104.658,106.155,160517,7,-11.56
-0.0403,AMZN,0.4967,102.4687,101.59,103.16,103.73,588603,0,-1.11
0.3192,SONY,0.8009,91.15,90.35,90.55,91.23,2088,0,0.0
-2.1471,AMD,0.6828,89.78,88.3,90.23,90.69,456845,5,-1.85
0.6272,INTC,0.4617,32.09,31.77,31.95,32.64,131268,2,3.07
0.1115,CVNA,0.2554,8.98,8.68,8.91,9.2192,23313,0,-1.16
0.5473,SOFI,0.6361,5.9524,5.81,5.89,6.0,91914,3,0.0
0.6836,AMC,0.3379,5.155,5.1301,5.24,5.3,413208,-2,-1.23
