percentchange,open,low,symbol,relvolume,high,price,watchers,hourchange,sentiment
0.7505,166.1,165.65,AAPL,0.6295,167.41,166.47,878094,4,3.69
-1.3872,106.49,104.07,GOOGL,0.5757,106.515,104.5,160554,-1,-2.31
-1.4596,187.15,183.5887,TSLA,0.5393,187.69,184.31,891794,-4,-0.73
-2.8698,9.22,8.76,CVNA,0.2683,9.285,8.8,23296,-4,-3.81
-0.4432,219.91,216.215,META,0.3488,220.44,217.89,512948,4,1.03
-0.1489,291.57,287.02,MSFT,0.5165,291.6,288.37,443619,-3,4.81
1.1228,140.27,139.03,JPM,0.8356,141.78,141.4,82989,1,-0.52
1.3116,225.43,222.23,ENPH,0.8254,231.31,227.87,37486,0,-1.73
0.9857,475.74,475.74,NOC,0.6483,483.4,479.47,8043,0,-11.11
-0.4283,103.95,101.52,AMZN,0.555,104.2,102.3,588659,2,1.45
0.7495,128.81,127.82,EA,0.5166,129.38,129.04,20704,0,0.0
-0.0313,128.14,127.35,IBM,0.4769,128.68,127.78,51379,-2,-0.62
0.3356,6.0,5.895,SOFI,0.4567,6.02,5.98,91920,2,-0.98
-2.8846,5.23,4.98,AMC,0.3403,5.212,5.05,413184,-2,-1.88
-0.9645,32.43,31.785,INTC,0.4755,32.46,31.83,131278,0,0.18
2.4628,275.335,273.57,NVDA,1.1798,281.0802,276.67,421845,-11,0.09
-0.1001,91.61,89.33,AMD,0.6994,92.16,89.78,456869,-2,2.78
0.1755,91.57,90.99,SONY,0.8545,91.86,91.31,2087,1,0.0
