high,open,symbol,price,low,relvolume,percentchange,watchers,hourchange,sentiment
131.23,129.47,IBM,131.09,129.42,0.5809,1.4471,51344,-2,2.22
463.32,462.98,NOC,461.72,459.45,0.4159,0.1605,8029,1,0.0
5.055,4.91,AMC,5.01,4.87,0.4763,0.8048,412469,-2,0.14
212.17,207.24,META,211.94,206.77,0.653,1.9727,512333,0,4.36
6.17,5.75,SOFI,6.07,5.67,1.0566,6.1189,91782,-1,1.46
32.8998,31.8,INTC,32.67,31.74,1.0575,1.8074,131089,-2,0.68
98.36,96.34,AMD,98.01,95.27,0.8317,0.1328,456389,-1,4.13
165.0,162.44,AAPL,164.9,162.13,0.7363,1.5644,876839,-5,5.02
207.79,197.53,TSLA,207.46,197.23,0.9318,6.2372,889876,0,8.1
9.79,8.9,CVNA,9.79,8.77,0.475,10.872,23370,0,6.67
288.81,283.73,MSFT,288.3,283.03,0.7248,1.4962,442662,-1,2.47
120.53,119.38,EA,120.45,118.985,0.6957,1.1335,20709,0,0.0
130.34,129.66,JPM,130.31,128.8514,0.7219,1.2117,82481,0,-2.02
103.89,101.3,GOOGL,103.73,101.05,0.6778,2.8149,159926,0,2.56
103.42,102.16,AMZN,103.29,101.95,0.6381,1.2647,587492,6,2.98
90.92,89.77,SONY,90.65,89.75,1.4706,1.5004,2084,0,0.0
278.34,271.4,NVDA,277.77,271.05,0.7758,1.4388,420626,-7,4.4
212.12,206.02,ENPH,210.28,205.81,0.544,2.4407,37336,0,0.75
