percentchange,high,symbol,open,low,price,relvolume,watchers,hourchange,sentiment
-0.4819,474.875,NOC,475.72,468.84,471.895,0.6011,8044,0,-4.62
-0.1433,286.26,MSFT,285.01,283.0608,285.7,0.5756,443714,0,0.44
0.0812,271.83,NVDA,269.52,267.2301,271.26,0.644,422041,-2,1.57
-0.5294,226.77,ENPH,223.75,219.9,223.6,0.5057,37486,3,3.16
-0.0939,213.41,META,210.21,209.76,212.87,0.5292,513000,1,0.2
1.2393,166.0,TSLA,164.8,161.33,165.01,0.7409,892724,10,0.22
-0.9961,166.45,AAPL,165.05,164.5,164.99,0.7882,15,1,-1.99
-0.1562,141.11,JPM,139.74,138.78,140.59,0.6957,82974,-4,-2.64
0.2252,130.12,EA,129.05,128.695,129.09,0.504,20703,0,0.0
-0.4986,126.69,IBM,126.0,125.27,125.73,1.0535,51490,4,-0.13
3.0248,108.15,AMZN,106.1,105.08,106.95,1.2806,588920,0,0.33
0.1235,106.0,GOOGL,105.47,104.79,105.42,0.5543,160602,1,0.24
0.7441,92.38,SONY,91.87,91.61,92.06,0.7484,2089,0,0.0
-1.8977,89.72,AMD,89.8,88.055,88.4,0.6306,456943,3,1.92
-1.7855,30.79,INTC,30.84,30.225,30.309,0.5032,131284,-7,-1.05
1.8125,8.29,CVNA,7.97,7.735,8.145,0.2397,23257,-3,-2.84
0.4223,5.99,SOFI,5.9,5.85,5.945,0.4494,91960,1,-0.39
-0.1006,5.07,AMC,4.94,4.91,4.965,0.3518,413185,0,-0.6
