price,relvolume,high,percentchange,symbol,low,open,watchers,hourchange,sentiment
214.75,0.4571,215.66,-0.6247,META,210.66,214.71,512691,0,-1.58
125.62,0.3892,125.8,0.3675,EA,123.74,124.79,20703,0,4.44
32.52,0.4854,32.76,-0.8839,INTC,32.2,32.6,131212,0,-1.66
131.03,0.3796,131.08,0.4061,IBM,129.24,129.83,51364,0,-1.29
9.31,0.3262,9.35,3.3296,CVNA,8.62,9.0,23315,0,3.76
289.39,0.6369,289.6,-0.7579,MSFT,284.72,289.208,443168,-2,-1.96
184.51,0.8207,185.0994,-0.2972,TSLA,176.11,179.94,891052,7,-0.34
102.17,0.5167,102.2,0.1078,AMZN,99.57,100.96,588100,0,-1.28
195.8,0.4136,195.9,2.5131,ENPH,188.51,189.09,37408,1,-1.82
5.24,1.2692,5.37,6.9388,AMC,4.74,4.77,413139,3,1.13
476.54,0.4565,478.17,1.3074,NOC,470.98,470.98,8041,0,-16.67
95.48,0.7903,95.79,3.2551,AMD,91.02,91.32,456699,0,8.86
275.79,0.7128,276.2099,2.0047,NVDA,266.69,268.23,421316,5,2.08
5.91,0.5343,5.92,2.7826,SOFI,5.66,5.69,91908,-1,0.55
162.03,0.6369,162.03,-1.5972,AAPL,160.08,161.42,877532,3,-4.57
127.89,0.5624,128.23,0.3295,JPM,126.22,126.54,82595,0,-2.86
106.44,0.6059,107.59,-1.8262,GOOGL,105.12,106.98,160302,1,0.22
88.51,0.4657,88.52,0.3856,SONY,87.73,87.76,2088,0,0.0
