high,low,open,price,relvolume,percentchange,symbol,watchers,hourchange,sentiment
260.24,251.3,256.15,259.0,0.819,0.6803,NVDA,419430,2,0.65
126.1508,124.19,124.31,125.94,0.7973,1.8191,IBM,51327,0,1.06
199.36,193.64,198.48,197.81,0.723,1.1247,META,511736,4,1.16
5.54,5.19,5.47,5.22,0.8466,-4.3956,SOFI,91589,1,1.08
114.28,113.01,113.01,113.52,0.5323,0.15,EA,20731,1,33.33
98.48,95.7,98.41,97.71,0.7742,-1.2532,AMZN,586764,7,0.79
7.81,6.87,7.43,7.07,0.3366,-7.5817,CVNA,23279,3,-1.62
277.48,269.85,276.98,272.23,1.2161,-2.5767,MSFT,441941,1,0.02
129.46,126.01,126.99,127.14,1.609,1.0571,JPM,82205,-7,0.76
96.94,92.9,96.3,96.81,1.5349,-1.0527,AMD,455937,0,-0.84
4.38,4.14,4.25,4.27,0.4546,2.1531,AMC,411726,0,-0.43
452.2,445.36,445.27,449.26,0.4475,1.2759,NOC,8003,0,8.33
186.44,176.35,178.08,183.25,0.6925,1.7321,TSLA,888858,2,-0.39
101.75,99.88,100.12,101.22,0.7301,-0.3936,GOOGL,159582,1,-0.64
89.16,87.33,87.52,88.42,1.1668,2.196,SONY,2079,0,0.0
157.81,154.15,155.07,157.4,0.8489,1.5484,AAPL,876027,1,-0.2
196.88,185.2,189.59,192.51,1.1646,4.8301,ENPH,37209,-3,1.58
29.9,28.63,29.8,29.16,0.7742,-2.1805,INTC,130824,3,-1.08
