high,relvolume,low,price,open,symbol,percentchange,watchers,hourchange,sentiment
483.31,0.4766,475.77,480.67,475.74,NOC,1.2384,8041,0,-17.86
291.6,0.4382,287.02,287.76,291.57,MSFT,-0.3601,443604,5,4.12
281.0802,1.0466,273.57,274.4605,275.335,NVDA,1.6445,421835,26,-0.18
231.31,0.6885,222.23,226.71,225.43,ENPH,0.7958,37486,0,-0.4
220.44,0.2966,216.215,217.8,219.91,META,-0.4843,512936,2,-0.81
187.69,0.4759,183.5887,184.32,187.15,TSLA,-1.4542,891764,23,-0.76
167.41,0.5282,165.65,166.32,166.1,AAPL,0.6597,878076,3,3.3
141.77,0.6721,139.03,141.6,140.27,JPM,1.2658,82988,3,0.28
129.38,0.3553,127.82,129.13,128.81,EA,0.8198,20706,0,0.0
128.68,0.3328,127.35,128.02,128.14,IBM,0.1565,51379,1,-1.59
106.515,0.4745,104.25,104.265,106.49,GOOGL,-1.6089,160551,3,-0.88
104.2,0.4361,101.52,101.715,103.95,AMZN,-0.9977,588639,-1,1.99
91.86,0.5565,90.995,91.16,91.57,SONY,0.011,2086,0,0.0
92.16,0.6095,89.33,89.6107,91.61,AMD,-0.2885,456867,6,0.88
32.46,0.3366,31.8,31.8902,32.43,INTC,-0.7772,131275,3,0.32
9.285,0.22,8.76,8.895,9.22,CVNA,-1.8212,23305,-3,-4.05
6.02,0.3585,5.895,5.955,6.0,SOFI,-0.0839,91916,-1,-0.55
5.212,0.289,4.98,5.07,5.23,AMC,-2.5,413185,0,-2.03
