high,symbol,open,relvolume,percentchange,low,price,watchers,hourchange,sentiment
478.12,NOC,470.98,0.3606,1.3797,471.57,476.88,8041,0,-8.33
289.6,MSFT,289.208,0.5758,-0.9894,284.72,288.715,443156,3,-0.89
276.2099,NVDA,268.23,0.6614,1.9862,266.69,275.74,421301,0,2.51
215.66,META,214.71,0.4086,-0.6849,210.66,214.62,512687,-1,-0.87
195.2,ENPH,189.09,0.3548,2.0,188.51,194.82,37405,2,-1.82
185.0994,TSLA,179.94,0.7792,-0.3999,176.11,184.32,891036,1,-0.7
161.86,AAPL,162.43,0.5692,-1.8584,160.08,161.6,877519,8,-2.8
131.0201,IBM,129.83,0.3126,0.3525,129.24,130.96,51367,0,-2.12
128.22,JPM,126.54,0.4782,0.0941,126.22,127.59,82588,0,-2.58
125.8,EA,124.79,0.2926,0.4394,123.74,125.71,20704,0,8.08
107.59,GOOGL,106.98,0.545,-1.8308,105.12,106.435,160292,4,-0.08
102.02,AMZN,100.96,0.4581,-0.3821,99.57,101.67,588086,7,-0.52
95.79,AMD,91.32,0.7064,3.3092,91.02,95.53,456692,3,7.34
88.4,SONY,87.76,0.3255,0.1248,87.73,88.28,2087,0,0.0
32.76,INTC,32.6,0.4121,-0.8839,32.2,32.52,131216,-4,0.51
9.35,CVNA,9.0,0.2874,2.3307,8.63,9.22,23319,0,1.53
5.92,SOFI,5.69,0.4686,2.5217,5.66,5.895,91904,1,0.46
5.37,AMC,4.77,1.1486,7.449,4.74,5.265,413139,-2,0.7
