percentchange,low,symbol,price,open,relvolume,high,watchers,hourchange,sentiment
-0.812,468.94,NOC,470.31,470.55,0.2123,471.98,8041,0,8.57
-1.4111,283.69,MSFT,285.75,287.0,0.4387,288.48,443391,2,0.4
0.6764,262.2,NVDA,266.42,265.04,0.5983,268.83,421572,5,-3.35
-0.0227,217.56,META,220.3,217.88,0.5114,222.11,512832,-3,-0.62
-1.0539,204.67,ENPH,207.48,209.77,0.5408,214.57,37424,-3,-7.15
-0.5272,182.01,TSLA,184.92,183.95,0.4459,186.28,891409,8,-0.26
-0.3805,163.83,AAPL,164.93,164.59,0.4875,166.32,877847,4,2.09
7.299,134.95,JPM,138.405,135.15,2.586,139.12,82940,9,11.6
-0.1642,127.31,IBM,127.69,128.46,0.4346,129.84,51369,-1,1.26
-0.4677,127.45,EA,127.68,127.98,0.2637,128.53,20706,0,16.67
0.8052,106.88,GOOGL,108.295,106.89,0.3861,108.35,160401,7,-1.82
0.0635,101.11,AMZN,102.465,102.07,0.5393,103.2013,588466,4,1.05
-0.5459,90.5,AMD,91.5873,91.82,0.4693,92.97,456768,-1,-0.28
0.4641,90.412,SONY,90.91,90.85,0.5095,91.44,2088,0,0.0
-0.9219,31.69,INTC,31.8338,32.0,0.3115,32.235,131237,2,-0.65
-3.3084,8.68,CVNA,9.06,9.47,0.2767,9.798,23332,-1,-0.93
-0.0853,5.77,SOFI,5.855,5.99,0.5067,6.03,91914,0,0.07
-7.1538,4.92,AMC,5.0694,5.74,0.6264,5.75,413226,0,-0.76
