symbol,open,high,price,percentchange,relvolume,low,watchers,hourchange,sentiment
TSLA,186.69,189.19,186.79,1.2357,0.6665,185.65,891136,1,0.16
AAPL,162.35,162.36,160.8,-0.7591,0.6091,160.51,877605,5,-4.15
AMZN,100.8,100.99,99.92,-2.2022,0.8239,99.01,588179,0,-5.43
JPM,128.3,128.94,128.52,0.4926,0.6398,127.54,82603,1,1.62
NOC,476.12,476.12,468.27,-1.7354,0.5013,467.525,8038,0,13.33
EA,125.13,126.25,125.68,0.0478,0.4521,124.74,20704,0,-10.0
CVNA,9.79,10.85,9.76,4.8335,0.7987,9.6,23335,0,12.8
MSFT,285.75,285.87,282.83,-2.2668,0.7591,281.64,443234,4,-2.28
ENPH,195.9,199.04,196.88,0.5516,0.3554,193.14,37408,0,-0.43
AMC,5.45,5.63,5.43,3.626,0.9069,5.25,413173,11,4.56
AMD,96.06,96.065,94.03,-1.5186,0.7947,92.7,456723,-3,2.77
INTC,32.66,33.11,32.35,-0.5228,0.4705,32.32,131223,2,-8.19
IBM,130.58,131.105,130.42,-0.4655,0.4743,130.18,51365,0,0.0
GOOGL,106.55,106.73,105.35,-1.0241,0.583,104.68,160324,3,-0.89
SONY,89.24,89.49,88.91,0.4519,0.5067,88.83,2089,0,0.0
SOFI,5.91,6.02,5.97,1.0152,0.662,5.86,91917,3,3.12
NVDA,277.235,277.89,271.69,-1.4866,0.5674,271.26,421372,0,1.09
META,215.48,216.02,213.85,-0.4191,0.4677,213.43,512725,4,-3.23
