percentchange,high,open,symbol,relvolume,price,low,watchers,hourchange,sentiment
-0.1917,141.11,139.74,JPM,0.6957,140.54,138.78,82969,0,-3.66
-1.8146,30.79,30.84,INTC,0.5032,30.3,30.225,131265,0,0.27
0.2407,130.12,129.05,EA,0.504,129.11,128.695,20700,0,25.0
-0.4986,126.69,126.0,IBM,1.0535,125.73,125.27,51479,0,1.87
0.0553,271.83,269.52,NVDA,0.644,271.19,267.2301,422022,0,1.01
-0.9781,166.45,165.05,AAPL,0.7882,165.02,164.5,878262,3,-1.71
-0.1223,286.26,285.01,MSFT,0.5756,285.76,283.0608,443705,0,-2.57
-0.0845,213.41,210.21,META,0.5292,212.89,209.76,512981,0,-1.62
3.0344,108.15,106.1,AMZN,1.2806,106.96,105.08,588921,-15,0.01
-1.8644,89.72,89.8,AMD,0.6306,88.43,88.055,456922,2,0.04
1.75,8.29,7.97,CVNA,0.2397,8.14,7.735,23240,0,-0.51
1.2823,166.0,164.8,TSLA,0.7409,165.08,161.33,892727,4,1.11
0.114,106.0,105.47,GOOGL,0.5543,105.41,104.79,160602,0,-1.75
0.7332,92.38,91.87,SONY,0.7484,92.05,91.61,2089,0,0.0
-0.5249,226.77,223.75,ENPH,0.5057,223.61,219.9,37487,0,2.0
0.3378,5.99,5.9,SOFI,0.4494,5.94,5.85,91955,0,0.06
-0.4618,474.875,475.72,NOC,0.6011,471.99,468.84,8043,0,7.14
0.4024,5.07,4.94,AMC,0.3518,4.99,4.91,413114,0,0.84
