low,relvolume,high,price,symbol,open,percentchange,watchers,hourchange,sentiment
457.495,0.2971,462.27,458.96,NOC,459.38,-0.0087,8021,0,25.0
278.41,0.5191,280.79,280.35,MSFT,278.96,1.8603,442530,0,-1.71
265.97,0.648,270.6697,269.8799,NVDA,268.25,2.1885,420470,0,-1.37
202.54,0.4454,205.48,205.36,META,203.56,2.3321,512243,1,0.12
191.385,0.7001,205.77,203.7088,ENPH,196.75,5.265,37308,1,-0.62
189.44,0.6398,195.28,193.29,TSLA,193.13,2.1671,889638,9,0.48
159.35,0.5434,160.9,160.835,AAPL,159.37,2.0203,876718,11,-0.3
129.18,0.3954,130.348,129.6804,IBM,130.12,0.2632,51343,-1,0.76
127.77,0.858,130.22,128.97,JPM,130.1,0.0698,82460,1,-0.93
118.08,0.3082,119.325,119.09,EA,118.08,0.9066,20708,-1,0.0
100.655,0.5485,102.43,101.37,GOOGL,102.28,0.3365,159836,0,4.31
98.5801,0.5653,100.34,100.195,AMZN,98.69,3.0389,587352,2,1.22
94.87,0.7678,96.91,96.42,AMD,96.07,1.967,456332,0,-0.21
86.74,0.9283,87.955,87.88,SONY,86.93,2.4004,2084,0,0.0
29.789,1.4544,31.89,31.635,INTC,29.77,8.0061,130911,8,7.05
7.37,0.2052,7.818,7.81,CVNA,7.47,6.1141,23365,1,-7.63
5.65,0.6269,5.9199,5.785,SOFI,5.69,3.4884,91762,2,-1.08
4.83,0.7193,5.2084,4.975,AMC,5.14,-3.3981,412480,-5,-0.59
