symbol,open,relvolume,percentchange,price,low,high,watchers,hourchange,sentiment
JPM,129.18,0.66,-0.0156,128.5,128.0603,130.43,82616,0,-0.52
TSLA,190.74,0.8639,-3.346,180.54,180.31,191.58,891217,7,-0.13
NVDA,273.7,0.8408,-2.4808,264.95,264.4786,274.63,421429,0,1.09
META,214.835,0.5478,0.0701,214.0,212.584,216.84,512758,1,-1.25
ENPH,199.9,0.4414,-0.4317,196.03,195.81,201.26,37409,0,1.68
GOOGL,106.58,0.5099,-0.6739,104.64,104.34,106.75,160343,4,-0.19
AMZN,100.4,0.7773,-2.0917,97.83,97.705,100.51,588258,4,-0.77
INTC,32.77,0.5877,-1.0201,32.02,31.96,32.89,131234,0,-6.8
SOFI,6.06,0.9555,-2.5126,5.82,5.67,6.05,91918,-1,-0.21
IBM,130.4,0.6074,-1.4415,128.54,128.18,130.87,51367,0,-2.42
NOC,467.43,0.4255,0.961,472.77,466.03,474.7299,8038,0,0.0
AMD,94.97,0.8136,-1.8079,92.33,91.74,94.995,456745,-1,6.35
EA,126.28,0.4105,0.3581,126.13,125.82,127.1812,20702,0,-16.67
MSFT,284.79,0.7301,0.2334,283.49,281.96,287.01,443294,0,-1.47
AMC,5.62,0.827,-1.6575,5.34,5.34,5.74,413213,2,0.38
AAPL,161.22,0.6508,-0.4353,160.1,159.78,162.06,877684,7,0.82
CVNA,9.79,0.5844,-5.3279,9.24,8.79,10.32,23330,0,6.59
SONY,90.0,0.4882,0.5961,89.44,89.29,90.4,2089,0,0.0
