high,symbol,relvolume,open,price,percentchange,low,watchers,hourchange,sentiment
474.875,NOC,0.3117,475.72,469.395,-1.0091,468.84,8044,0,-4.62
286.26,MSFT,0.5178,285.01,285.81,-0.1049,283.0608,443714,0,0.44
271.44,NVDA,0.5854,269.52,270.14,-0.3321,267.2301,422041,-2,1.57
226.77,ENPH,0.4195,223.75,225.3,0.2269,219.9,37486,3,3.16
213.41,META,0.4816,210.21,212.62,-0.2112,209.76,513000,1,0.2
166.0,TSLA,0.6967,164.8,165.21,1.362,161.33,892724,10,0.22
166.45,AAPL,0.7006,165.05,164.96,-1.0141,164.5,15,1,-1.99
141.09,JPM,0.5686,139.74,141.0,0.1349,138.78,82974,-4,-2.64
130.12,EA,0.3737,129.05,129.07,0.2096,128.83,20703,0,0.0
126.69,IBM,0.9151,126.0,125.44,-0.7281,125.27,51490,4,-0.13
108.15,AMZN,1.159,106.1,106.91,2.9862,105.08,588920,0,0.33
106.0,GOOGL,0.4621,105.47,105.065,-0.2137,104.79,160602,1,0.24
92.38,SONY,0.6284,91.87,92.08,0.766,91.61,2089,0,0.0
89.72,AMD,0.561,89.8,88.335,-1.9698,88.26,456943,3,1.92
30.79,INTC,0.3926,30.84,30.31,-1.7822,30.225,131284,-7,-1.05
8.29,CVNA,0.2092,7.97,8.135,1.6875,7.735,23257,-3,-2.84
5.99,SOFI,0.3753,5.9,5.925,0.0845,5.85,91960,1,-0.39
5.07,AMC,0.2937,4.94,4.965,-0.1006,4.91,413185,0,-0.6
