percentchange,high,open,price,low,symbol,relvolume,watchers,hourchange,sentiment
-0.6,5.16,5.11,4.97,4.865,AMC,0.5325,412468,-3,0.69
0.989,162.47,161.53,162.36,161.271,AAPL,0.5827,876774,1,4.72
1.262,284.46,284.23,284.05,281.5,MSFT,0.6427,442606,1,-0.14
1.2126,208.09,203.38,207.84,202.85,META,0.6432,512303,-3,5.8
0.6472,214.19,209.435,205.27,203.96,ENPH,0.6629,37321,1,-2.39
-0.302,130.12,129.95,128.75,127.65,JPM,0.7826,82477,0,1.48
-0.4931,101.155,100.91,100.89,99.78,GOOGL,0.6807,159894,0,2.76
-0.5217,5.93,5.87,5.72,5.62,SOFI,0.6344,91771,1,-1.7
1.8084,32.58,31.85,32.09,31.81,INTC,1.4198,131059,0,3.85
1.7456,103.04,101.55,102.0,101.01,AMZN,0.6777,587428,0,2.88
1.8628,99.53,98.0,97.88,97.25,AMD,0.8812,456364,0,-2.46
-0.1278,462.92,460.46,460.98,458.5,NOC,0.3938,8023,0,0.0
-0.3778,131.48,130.16,129.22,129.1,IBM,0.5487,51343,0,6.76
-0.0755,120.05,120.0,119.1,118.85,EA,0.5217,20710,0,5.56
12.1982,9.0,8.08,8.83,8.0748,CVNA,0.5721,23362,0,-4.44
0.7221,197.328,195.58,195.28,194.42,TSLA,0.6092,889764,9,4.2
1.4787,274.99,272.29,273.83,271.02,NVDA,0.6652,420573,0,2.08
1.6388,89.53,88.7,89.31,88.555,SONY,1.4544,2082,0,0.0
