high,percentchange,symbol,relvolume,price,low,open,watchers,hourchange,sentiment
461.5,0.1593,NOC,0.3387,458.98,457.59,458.31,8016,0,-2.78
276.13,-0.408,MSFT,0.5713,275.2525,272.05,275.79,442486,4,-2.62
265.13,-0.4184,NVDA,0.6755,264.2,258.5,264.47,420423,3,-0.39
201.03,-1.0599,META,0.535,200.69,197.9,200.15,512220,-3,-3.47
196.515,-1.1924,ENPH,0.3801,193.495,190.624,196.0,37298,-1,-3.4
192.35,-1.3764,TSLA,0.5363,189.17,185.43,192.0,889585,16,-3.02
158.1277,-0.3601,AAPL,0.5555,157.71,155.98,157.97,876656,3,-2.51
129.66,0.0077,IBM,0.4651,129.32,128.8,129.18,51344,0,3.35
129.3417,0.2724,JPM,0.7437,128.84,127.75,128.71,82450,-1,-1.89
118.4425,-0.531,EA,0.5197,118.01,117.38,118.085,20715,0,-1.01
102.4,-1.4249,GOOGL,0.707,101.0,99.7401,102.44,159817,0,-4.76
98.44,-0.8058,AMZN,0.4953,97.25,96.29,98.11,587260,7,-1.74
96.93,-2.0547,AMD,0.907,94.625,92.87,96.77,456309,2,-1.22
86.6682,-0.9464,SONY,0.8063,85.82,85.745,86.11,2081,0,0.0
29.33,0.4798,INTC,0.6633,29.32,28.63,29.075,130891,0,-0.81
7.72,-3.2808,CVNA,0.235,7.37,7.22,7.57,23387,-7,-0.32
5.79,-3.0382,SOFI,0.5751,5.585,5.51,5.74,91755,0,0.53
5.5,12.3626,AMC,2.4732,5.1125,4.46,4.51,412081,107,-0.37
