high,percentchange,price,relvolume,open,symbol,low,watchers,hourchange,sentiment
141.11,-0.1917,140.54,0.6957,139.74,JPM,138.78,82969,-4,-3.66
30.79,-1.8146,30.3,0.5032,30.84,INTC,30.225,131265,-19,0.27
130.12,0.2407,129.11,0.504,129.05,EA,128.695,20700,-2,25.0
126.69,-0.4986,125.73,1.0535,126.0,IBM,125.27,51479,-8,1.87
271.83,0.0553,271.19,0.644,269.52,NVDA,267.2301,422022,-18,1.04
166.45,-0.9781,165.02,0.7882,165.05,AAPL,164.5,878259,-48,-1.95
286.26,-0.1223,285.76,0.5756,285.01,MSFT,283.0608,443705,-9,-1.79
213.41,-0.0845,212.89,0.5292,210.21,META,209.76,512981,-27,-1.62
108.15,3.0344,106.96,1.2806,106.1,AMZN,105.08,588936,-11,0.01
89.72,-1.8644,88.43,0.6306,89.8,AMD,88.055,456920,-26,0.24
8.29,1.75,8.14,0.2397,7.97,CVNA,7.735,23240,-16,-1.6
166.0,1.2823,165.08,0.7409,164.8,TSLA,161.33,892723,-18,1.11
106.0,0.114,105.41,0.5543,105.47,GOOGL,104.79,160602,-7,-1.75
92.38,0.7332,92.05,0.7484,91.87,SONY,91.61,2089,0,0.0
226.77,-0.5249,223.61,0.5057,223.75,ENPH,219.9,37487,-3,2.0
5.99,0.3378,5.94,0.4494,5.9,SOFI,5.85,91955,-9,0.06
474.875,-0.4618,471.99,0.6011,475.72,NOC,468.84,8043,-1,7.14
5.07,0.4024,4.99,0.3518,4.94,AMC,4.91,413114,-75,0.72
