open,percentchange,low,relvolume,high,price,symbol,watchers,hourchange,sentiment
468.73,-0.2153,465.19,0.3915,471.7399,468.18,NOC,8033,-1,0.0
287.23,-0.0453,285.67,0.6652,290.4499,287.1,MSFT,442890,2,1.1
279.66,-1.8273,273.08,0.686,280.0,274.54,NVDA,420925,4,2.36
213.39,0.7885,212.54,0.5769,216.24,214.75,META,512513,1,6.34
202.89,-0.0444,198.65,0.4624,203.2,202.51,ENPH,37367,0,0.56
197.32,-1.0987,190.32,0.711,198.7446,192.63,TSLA,890486,7,1.04
166.595,-0.349,165.11,0.5431,166.83,165.59,AAPL,877181,2,2.67
131.99,-0.3635,130.9,0.5043,132.13,131.58,IBM,51355,0,0.0
130.5,-1.3519,127.41,0.702,130.57,128.4004,JPM,82529,1,5.41
121.43,3.2221,121.23,1.0756,125.47,125.26,EA,20707,0,0.0
104.33,0.3641,104.04,0.5141,105.58,104.74,GOOGL,160040,0,4.12
102.75,1.4842,102.11,0.6103,104.2,103.93,AMZN,587776,2,1.72
97.038,-0.7042,95.21,0.6455,97.27,95.88,AMD,456541,7,-1.12
90.78,-0.3208,90.36,0.9783,91.145,91.037,SONY,2087,0,0.0
32.85,0.6233,32.85,1.059,33.84,33.095,INTC,131182,3,2.71
9.44,2.2605,8.93,0.3434,9.72,9.5,CVNA,23344,0,-2.29
6.1,-2.4046,5.835,0.4678,6.095,5.885,SOFI,91854,-1,-0.39
4.08,-23.7769,3.88,2.4701,4.45,3.895,AMC,412833,5,-4.8
