symbol,low,open,price,percentchange,relvolume,high,watchers,hourchange,sentiment
NVDA,263.55,270.31,267.79,-1.5152,0.8619,271.67,420200,-2,-1.14
CVNA,7.95,8.18,8.19,-1.9162,0.2716,8.47,23417,0,-0.45
AMD,96.74,99.18,97.95,-2.3235,1.0179,99.52,456184,0,-2.61
IBM,122.88,123.36,125.29,1.5563,0.6283,125.4,51329,2,-2.11
AAPL,157.85,158.86,160.25,0.8306,0.6983,160.34,876397,-6,-1.19
MSFT,275.3,277.24,280.57,1.048,0.7429,280.63,442258,0,0.35
NOC,443.105,445.08,455.25,2.4323,0.7919,456.2,8012,0,-10.23
EA,117.61,118.08,119.03,2.5767,0.8715,119.205,20720,0,0.0
SOFI,5.645,5.675,5.74,-0.692,0.4643,5.83,91708,1,-0.29
AMC,4.38,4.4,4.47,0.0,0.283,4.54,411927,-1,0.25
INTC,28.93,29.04,29.36,1.1368,1.0801,29.81,130869,2,-2.26
AMZN,96.4,98.065,98.13,-0.5876,0.6949,98.295,587053,0,-0.92
META,203.55,205.18,206.01,0.8469,0.7884,207.574,512051,0,2.97
TSLA,187.15,191.65,190.41,-0.9416,0.6231,192.36,889287,2,-1.2
GOOGL,103.84,104.99,105.44,-0.1515,0.6651,105.49,159720,0,-3.37
SONY,86.96,88.3,87.53,-0.8383,1.3895,88.3,2082,0,0.0
ENPH,192.46,202.35,195.99,-4.2363,0.8771,203.55,37276,1,4.64
JPM,123.11,125.63,124.91,-1.5216,1.496,125.68,82376,5,-0.01
