percentchange,relvolume,price,low,symbol,open,high,watchers,hourchange,sentiment
-2.5691,0.8408,264.71,264.4786,NVDA,273.7,274.63,421418,3,4.17
0.0655,0.5478,213.99,212.584,META,214.835,216.84,512754,6,-0.58
-0.0078,0.66,128.51,128.0603,JPM,129.18,130.43,82618,2,3.1
-3.4022,0.8639,180.435,180.32,TSLA,190.74,191.58,891214,12,0.73
-0.4673,0.4414,195.96,195.81,ENPH,199.9,201.26,37406,2,2.01
-2.0917,0.7773,97.83,97.705,AMZN,100.4,100.51,588245,2,-2.17
-0.6787,0.5099,104.635,104.34,GOOGL,106.58,106.75,160345,1,-0.31
-0.9583,0.5877,32.04,31.96,INTC,32.77,32.89,131236,-1,-2.33
-2.4288,0.9555,5.825,5.67,SOFI,6.06,6.05,91922,2,1.26
0.9653,0.4255,472.79,466.03,NOC,467.43,474.7299,8038,0,0.0
-1.453,0.6074,128.525,128.18,IBM,130.4,130.87,51367,0,-1.0
0.3421,0.4105,126.11,125.82,EA,126.28,127.1812,20701,0,-29.17
-1.893,0.8136,92.25,91.74,AMD,94.97,94.995,456743,1,5.29
-5.3279,0.5844,9.24,8.79,CVNA,9.79,10.32,23330,-1,7.63
0.2157,0.7301,283.44,281.96,MSFT,284.79,287.01,443295,7,-1.17
-0.4415,0.6508,160.09,159.78,AAPL,161.22,162.06,877676,1,1.58
-1.6575,0.827,5.34,5.34,AMC,5.62,5.74,413221,6,1.07
0.5286,0.4882,89.38,89.29,SONY,90.0,90.4,2089,0,0.0
