price,symbol,percentchange,low,open,high,relvolume,watchers,hourchange,sentiment
104.64,GOOGL,-0.6739,104.34,106.58,106.75,0.5099,160339,-6,-0.07
196.03,ENPH,-0.4317,195.81,199.9,201.26,0.4414,37406,0,1.77
32.02,INTC,-1.0201,31.96,32.77,32.89,0.5877,131234,-2,-3.82
5.82,SOFI,-2.5126,5.67,6.06,6.05,0.9555,91919,-3,0.41
126.13,EA,0.3581,125.82,126.28,127.1812,0.4105,20701,0,-29.17
128.54,IBM,-1.4415,128.18,130.4,130.87,0.6074,51367,0,-2.02
472.77,NOC,0.961,466.03,467.43,474.7299,0.4255,8038,0,0.0
92.33,AMD,-1.8079,91.74,94.97,94.995,0.8136,456743,0,6.05
9.24,CVNA,-5.3279,8.79,10.13,10.32,0.5844,23327,-3,7.13
283.49,MSFT,0.2334,281.96,284.79,287.01,0.7301,443292,-3,-1.14
160.1,AAPL,-0.4353,159.78,161.22,162.06,0.6508,877680,4,1.44
5.34,AMC,-1.6575,5.34,5.62,5.74,0.827,413219,-2,0.98
89.44,SONY,0.5961,89.29,90.0,90.4,0.4882,2089,0,0.0
128.5,JPM,-0.0156,128.0603,129.18,130.43,0.66,82618,0,1.61
264.95,NVDA,-2.4808,264.4786,273.7,274.63,0.8408,421423,5,3.47
214.0,META,0.0701,212.584,214.835,216.84,0.5478,512757,3,-1.12
180.54,TSLA,-3.346,180.31,190.74,191.58,0.8639,891210,-4,-0.11
97.83,AMZN,-2.0917,97.705,100.4,100.51,0.7773,588249,4,-1.86
