relvolume,symbol,open,low,price,high,percentchange,watchers,hourchange,sentiment
0.5323,EA,113.01,113.01,113.52,114.28,0.15,20731,0,33.33
0.3366,CVNA,7.43,6.87,7.07,7.81,-7.5817,23279,0,-1.75
1.5349,AMD,96.3,92.9,96.81,96.94,-1.0527,455939,0,-0.57
0.7742,AMZN,98.41,95.7,97.71,98.48,-1.2532,586767,-3,0.6
1.2161,MSFT,276.98,269.85,272.23,277.48,-2.5767,441943,0,-0.11
1.609,JPM,126.99,126.01,127.14,129.46,1.0571,82210,0,0.24
0.4546,AMC,4.25,4.14,4.27,4.38,2.1531,411730,0,-0.49
0.6925,TSLA,178.08,176.35,183.25,186.44,1.7321,888860,0,-0.22
0.4475,NOC,445.27,445.36,449.26,452.2,1.2759,8003,0,8.33
0.7301,GOOGL,100.12,99.88,101.22,101.75,-0.3936,159585,0,-0.9
1.1668,SONY,87.52,87.33,88.42,89.16,2.196,2079,0,0.0
1.1646,ENPH,189.59,185.2,192.51,196.88,4.8301,37212,-1,1.63
0.8489,AAPL,155.07,154.15,157.4,157.81,1.5484,876037,2,0.17
0.7742,INTC,29.8,28.63,29.16,29.9,-2.1805,130826,0,-1.34
0.7973,IBM,124.31,124.19,125.94,126.1508,1.8191,51327,0,1.06
0.819,NVDA,256.15,251.3,259.0,260.24,0.6803,419437,3,0.66
0.723,META,198.48,193.64,197.81,199.36,1.1247,511744,0,1.27
0.8466,SOFI,5.47,5.19,5.22,5.54,-4.3956,91592,0,1.15
