price,high,percentchange,open,symbol,low,relvolume,watchers,hourchange,sentiment
471.38,477.68,-0.2518,472.99,NOC,471.38,0.2842,8040,0,4.76
286.85,291.58,0.2481,289.93,MSFT,286.2,0.4597,443538,-1,1.62
266.08,269.225,-0.5606,265.655,NVDA,264.36,0.4263,421717,2,-0.43
222.57,229.23,6.5438,215.0,ENPH,214.7801,1.2316,37460,0,4.45
218.63,220.979,-1.2913,219.79,META,217.13,0.3293,512896,-6,0.21
183.8,189.69,-0.6486,186.32,TSLA,182.7,0.5206,891620,11,0.69
164.35,165.39,-0.5205,165.09,AAPL,164.03,0.3925,877988,10,0.81
139.32,140.06,0.4253,139.95,JPM,137.66,0.7398,82966,-3,0.71
127.853,127.98,-0.0133,127.37,EA,127.14,0.273,20706,0,-10.0
126.995,128.72,-0.8936,128.3,IBM,126.935,0.3175,51377,-3,-3.45
105.62,106.0,-2.9852,104.658,GOOGL,104.52,0.6684,160503,4,-9.99
102.0199,103.73,-0.4781,103.16,AMZN,101.59,0.4136,588596,-3,-1.45
90.84,91.01,-0.022,90.55,SONY,90.35,0.5958,2088,0,0.0
88.97,90.69,-3.03,90.23,AMD,88.3,0.5475,456833,4,-0.9
31.815,32.64,-0.2352,31.95,INTC,31.77,0.3542,131264,-1,4.32
8.695,9.2192,-3.0658,8.91,CVNA,8.68,0.1913,23316,3,-0.75
5.87,5.96,-0.8446,5.89,SOFI,5.81,0.5025,91917,-1,0.13
5.205,5.3,1.6602,5.24,AMC,5.1301,0.2721,413211,-3,-0.89
