price,percentchange,high,open,low,symbol,relvolume,watchers,hourchange,sentiment
128.28,1.7046,128.72,126.58,126.58,EA,0.4634,20702,0,6.67
289.84,2.2399,289.9,283.59,283.17,MSFT,0.602,443359,4,1.77
128.99,0.3813,129.035,128.46,126.84,JPM,0.7779,82728,-3,6.94
474.16,0.294,476.065,472.0,469.78,NOC,0.3826,8040,1,-16.67
9.37,1.4069,9.76,9.27,9.201,CVNA,0.3162,23339,0,2.02
5.86,0.6873,5.98,5.91,5.825,SOFI,0.5437,91914,2,1.7
32.13,0.3435,32.4252,31.82,31.65,INTC,0.474,131236,4,6.29
107.43,2.6663,107.49,105.84,105.9,GOOGL,0.5101,160363,1,-1.35
90.49,1.174,90.83,90.1,90.0,SONY,0.7734,2088,0,0.0
185.9,2.9689,186.5,182.955,180.94,TSLA,0.6485,891324,5,1.21
220.35,2.9673,221.15,215.73,215.82,META,0.6771,512808,8,2.53
92.09,-0.2599,93.16,92.79,91.83,AMD,0.6105,456769,6,0.89
209.69,6.9683,211.55,200.01,198.52,ENPH,0.9909,37427,2,-4.96
264.63,-0.1208,268.869,267.34,263.29,NVDA,0.6485,421518,3,-2.85
5.46,2.2472,5.66,5.48,5.39,AMC,0.5092,413225,3,-2.85
165.56,3.4104,165.8,161.63,161.44,AAPL,0.8567,877766,8,4.7
127.9,-0.4979,128.39,128.01,126.01,IBM,0.8901,51368,2,6.94
102.4,4.6714,102.56,98.95,98.73,AMZN,0.9312,588392,10,4.78
