symbol,low,high,price,relvolume,percentchange,open,watchers,hourchange,sentiment
NOC,443.105,455.26,454.795,0.5506,2.3299,445.08,8014,3,-5.0
MSFT,275.3,279.77,278.28,0.5681,0.2233,277.24,442236,2,-3.24
NVDA,263.55,271.67,265.55,0.6799,-2.339,270.31,420185,7,-2.07
META,203.55,207.574,205.06,0.6475,0.3818,205.18,512054,8,-2.41
ENPH,192.46,203.55,194.095,0.709,-5.1622,202.35,37272,0,3.35
TSLA,187.15,192.36,190.28,0.5115,-1.0093,191.65,889276,3,-2.78
AAPL,157.85,159.67,159.57,0.5392,0.4027,158.86,876374,2,-3.33
JPM,123.1163,125.68,124.83,1.143,-1.5847,125.63,82362,3,-0.98
IBM,122.89,124.95,124.6,0.4196,0.997,123.36,51326,0,-0.54
EA,117.61,119.18,118.62,0.5941,2.2234,118.08,20719,0,16.67
GOOGL,103.84,105.36,104.965,0.4805,-0.6013,104.99,159715,2,-5.41
AMZN,96.4,98.13,97.855,0.5555,-0.8662,98.065,587038,2,-2.14
AMD,96.74,99.52,97.49,0.8246,-2.7822,99.18,456186,-4,-3.44
SONY,86.96,88.3,87.45,1.0411,-0.929,88.3,2082,1,0.0
INTC,28.93,29.81,29.205,0.8028,0.6028,29.04,130870,0,-3.55
CVNA,7.95,8.47,8.175,0.2184,-2.0958,8.18,23423,-1,-1.62
SOFI,5.645,5.83,5.735,0.3492,-0.7785,5.675,91704,-1,-0.22
AMC,4.38,4.54,4.475,0.2062,0.1119,4.4,411928,4,-0.36
