high,symbol,low,open,relvolume,percentchange,price,watchers,hourchange,sentiment
114.28,EA,113.01,113.01,0.5323,0.15,113.52,20730,-1,33.33
7.81,CVNA,6.87,7.43,0.3366,-7.5817,7.07,23278,-1,-1.3
96.94,AMD,92.9,96.3,1.5349,-1.0527,96.81,455940,1,-0.59
98.48,AMZN,95.7,98.41,0.7742,-1.2532,97.71,586768,1,0.31
277.48,MSFT,269.85,276.98,1.2161,-2.5767,272.23,441948,5,-0.14
129.46,JPM,126.01,126.99,1.609,1.0571,127.14,82211,1,-0.26
4.38,AMC,4.14,4.25,0.4546,2.1531,4.27,411737,7,-0.44
186.44,TSLA,176.35,178.08,0.6925,1.7321,183.25,888860,0,-0.2
452.2,NOC,445.36,445.27,0.4475,1.2759,449.26,8005,2,8.33
101.75,GOOGL,99.88,100.12,0.7301,-0.3936,101.22,159584,-1,-0.95
89.16,SONY,87.33,87.52,1.1668,2.196,88.42,2079,0,0.0
196.88,ENPH,185.2,189.59,1.1646,4.8301,192.51,37212,0,1.82
157.81,AAPL,154.15,155.07,0.8489,1.5484,157.4,876039,2,0.0
29.9,INTC,28.63,29.8,0.7742,-2.1805,29.16,130826,0,-0.69
126.1508,IBM,124.19,124.31,0.7973,1.8191,125.94,51326,-1,1.06
260.24,NVDA,251.3,256.15,0.819,0.6803,259.0,419438,1,0.64
199.36,META,193.64,198.48,0.723,1.1247,197.81,511744,0,1.39
5.54,SOFI,5.19,5.47,0.8466,-4.3956,5.22,91593,1,1.27
