high,low,open,relvolume,symbol,price,percentchange,watchers,hourchange,sentiment
92.97,90.5,91.82,0.5911,AMD,91.75,-0.3692,456770,2,-0.1
473.09,468.765,470.55,0.3372,NOC,472.57,-0.3353,8040,-1,13.33
9.798,8.68,9.47,0.3345,CVNA,8.97,-4.2689,23324,-4,-2.06
268.83,262.2,265.04,0.7461,NVDA,267.58,1.1148,421595,5,-1.17
288.48,283.69,287.0,0.5743,MSFT,286.14,-1.2766,443399,3,-0.53
222.11,217.56,217.88,0.6378,META,221.49,0.5174,512854,4,0.74
103.2013,101.11,102.07,0.7199,AMZN,102.51,0.1074,588470,2,0.81
129.84,127.31,128.46,0.6373,IBM,128.14,0.1876,51370,0,-6.94
139.12,134.9001,135.15,3.0765,JPM,138.73,7.551,82932,2,6.75
166.32,163.83,164.59,0.6406,AAPL,165.21,-0.2114,877855,3,1.39
108.935,106.88,106.89,0.566,GOOGL,108.87,1.3404,160400,-4,-1.51
128.53,127.45,127.98,0.4028,EA,127.87,-0.3196,20705,0,10.0
214.57,204.67,209.77,0.6939,ENPH,208.9,-0.3767,37422,-1,-3.12
186.28,182.01,183.95,0.5598,TSLA,185.0,-0.4841,891426,-1,0.26
91.46,90.412,90.85,0.8867,SONY,90.86,0.4089,2088,0,0.0
32.235,31.69,32.0,0.4201,INTC,31.89,-0.747,131240,0,-1.8
6.03,5.77,5.99,0.6398,SOFI,5.92,1.0239,91899,0,-0.69
5.75,4.9,5.74,0.9005,AMC,5.12,-6.2271,413215,1,-0.34
