high,price,low,relvolume,open,symbol,percentchange,watchers,hourchange,sentiment
130.59,128.42,127.41,0.702,130.5,JPM,-1.3368,82528,2,7.86
166.83,165.63,165.11,0.5431,166.595,AAPL,-0.325,877176,0,1.42
290.4499,287.18,285.67,0.6652,287.23,MSFT,-0.0174,442887,0,-0.36
471.94,468.1,465.0,0.3915,468.73,NOC,-0.2323,8034,0,0.0
104.2,103.95,102.11,0.6103,102.75,AMZN,1.5038,587802,4,2.28
105.58,104.72,104.04,0.5141,104.33,GOOGL,0.345,160050,4,3.96
280.0,274.53,273.08,0.686,279.66,NVDA,-1.8309,420951,11,0.52
4.45,3.91,3.88,2.4701,4.08,AMC,-23.4834,412843,4,-5.39
125.47,125.24,121.23,1.0756,121.43,EA,3.2056,20707,1,0.0
9.72,9.5,8.93,0.3434,9.44,CVNA,2.2605,23343,2,-2.4
216.24,214.72,212.54,0.5769,213.39,META,0.7744,512522,3,4.64
198.7446,192.58,190.32,0.711,197.32,TSLA,-1.1244,890499,0,0.4
203.2,202.54,198.65,0.4624,202.89,ENPH,-0.0296,37368,-1,0.49
97.27,95.87,95.21,0.6455,97.038,AMD,-0.7146,456543,1,-2.02
132.1499,131.6,130.89,0.5043,131.99,IBM,-0.3483,51358,0,0.0
91.145,91.01,90.36,0.9783,90.78,SONY,-0.3504,2087,0,0.0
6.095,5.89,5.835,0.4678,6.1,SOFI,-2.3217,91854,0,-0.56
33.84,33.1,32.85,1.059,32.85,INTC,0.6385,131184,2,2.41
