price,low,high,relvolume,percentchange,open,symbol,watchers,hourchange,sentiment
7.65,7.02,7.9,0.4207,3.2389,7.21,CVNA,23303,-5,0.27
97.84,95.94,98.75,1.4973,1.2836,96.66,AMD,455821,-2,-0.24
180.13,177.33,186.21,0.6722,-2.1724,184.515,TSLA,888629,3,1.1
123.69,122.93,124.52,2.0994,-0.8099,124.08,IBM,51324,0,1.4
113.35,112.98,114.0,0.7406,-0.1585,113.65,EA,20735,0,-25.0
279.43,276.3201,283.33,1.7577,1.1694,278.26,MSFT,441748,4,-1.58
125.81,125.46,128.45,2.2173,-3.7782,128.38,JPM,82039,1,4.66
443.6,441.305,450.16,0.8804,-1.4551,449.81,NOC,7998,0,3.41
195.61,195.4304,201.9,1.116,-4.5479,200.56,META,511612,1,-1.09
5.46,5.33,5.54,0.6642,0.1835,5.47,SOFI,91542,0,5.29
98.95,97.455,100.65,0.8764,-1.0896,99.79,AMZN,586546,-6,2.06
4.18,4.1078,4.34,0.6185,-4.7836,4.3,AMC,411723,1,-0.13
29.81,29.44,30.56,1.0943,-1.226,29.92,INTC,130795,0,-4.25
101.62,100.1,102.835,1.2376,1.2959,100.26,GOOGL,159514,-2,1.05
155.0,154.28,156.74,0.9896,-0.5454,156.08,AAPL,875804,-3,4.59
86.52,86.18,87.47,1.0052,0.1505,87.25,SONY,2077,0,33.33
257.25,256.68,263.99,1.3828,0.7204,259.82,NVDA,419192,3,2.58
183.64,181.55,200.7,1.684,-8.6822,200.7,ENPH,37123,6,-3.29
