percentchange,low,relvolume,open,price,symbol,high,watchers,hourchange,sentiment
1.8084,31.81,1.4198,31.85,32.09,INTC,32.58,131050,-1,6.04
-0.5217,5.62,0.6344,5.87,5.72,SOFI,5.93,91769,0,-1.27
1.7456,101.01,0.6777,101.55,102.0,AMZN,103.04,587434,-2,4.47
1.8628,97.25,0.8812,98.0,97.88,AMD,99.53,456365,1,-2.53
-0.1278,458.5,0.3938,460.46,460.98,NOC,462.92,8023,0,0.0
-0.3778,129.1,0.5487,130.16,129.22,IBM,131.48,51345,-3,8.71
-0.0755,118.85,0.5217,120.0,119.1,EA,120.05,20710,0,5.56
0.7221,194.42,0.6092,195.58,195.28,TSLA,197.328,889745,9,4.92
12.1982,8.0748,0.5721,8.08,8.83,CVNA,9.0,23367,3,-5.48
1.4787,271.02,0.6652,272.29,273.83,NVDA,274.99,420569,3,4.04
1.6388,88.555,1.4544,88.7,89.31,SONY,89.53,2082,0,0.0
-0.6,4.865,0.5325,5.11,4.97,AMC,5.16,412476,-4,0.76
1.262,281.5,0.6427,284.23,284.05,MSFT,284.46,442596,0,0.56
0.989,161.271,0.5827,161.53,162.36,AAPL,162.47,876782,0,4.8
1.2126,202.85,0.6432,203.38,207.84,META,208.09,512302,8,7.1
0.6472,203.96,0.6629,209.435,205.27,ENPH,214.19,37321,0,-2.07
-0.302,127.65,0.7826,129.95,128.75,JPM,130.12,82477,3,1.17
-0.4931,99.78,0.6807,100.91,100.89,GOOGL,101.155,159881,0,3.5
