low,symbol,price,percentchange,relvolume,high,open,watchers,hourchange,sentiment
462.72,NOC,470.595,1.9222,0.3223,471.55,463.3,8030,0,0.0
283.95,MSFT,286.22,-0.7215,0.5309,288.27,286.52,442828,3,-0.87
273.36,NVDA,277.21,-0.2016,0.5897,279.91,275.09,420819,4,0.31
208.2001,META,212.33,0.184,0.3991,212.57,208.84,512444,0,0.2
201.6293,ENPH,203.38,-3.2813,0.6703,215.8856,213.98,37370,3,1.7
192.2,TSLA,194.31,-6.3386,0.8393,202.6897,199.91,890303,5,-1.72
164.27,AAPL,165.745,0.5124,0.5411,165.89,164.27,877059,6,0.34
130.77,IBM,132.24,0.8773,0.3509,132.61,130.97,51351,0,2.08
129.41,JPM,130.285,-0.0192,0.4796,131.43,129.91,82510,0,4.02
119.6,EA,121.195,0.6185,0.3834,121.215,120.14,20708,0,0.0
102.11,GOOGL,103.64,-0.0868,0.3769,103.79,102.39,160006,2,1.2
101.43,AMZN,101.9401,-1.3069,0.4437,103.29,102.3,587674,3,1.02
94.81,AMD,95.89,-2.163,0.6375,96.79,96.695,456500,1,-1.17
90.455,SONY,90.886,0.2603,0.7612,91.01,90.41,2089,0,0.0
32.54,INTC,32.845,0.5357,0.8902,33.56,32.94,131144,0,-0.59
9.12,CVNA,9.415,-3.8304,0.4165,10.16,9.64,23351,-3,0.88
5.94,SOFI,6.044,-0.4283,0.6813,6.275,6.14,91843,1,-1.05
4.94,AMC,5.0605,1.008,0.4193,5.145,4.99,412504,-1,0.19
