high,relvolume,low,percentchange,price,symbol,open,watchers,hourchange,sentiment
214.57,0.6939,204.67,-0.3767,208.9,ENPH,209.77,37428,0,-2.73
128.53,0.4028,127.45,-0.3196,127.87,EA,127.98,20705,0,0.0
91.46,0.8867,90.412,0.4089,90.86,SONY,90.85,2088,0,0.0
186.28,0.5598,182.01,-0.4841,185.0,TSLA,183.95,891430,-1,0.42
32.235,0.4201,31.69,-0.747,31.89,INTC,32.0,131242,0,-0.9
5.75,0.9005,4.9,-6.2271,5.12,AMC,5.74,413215,0,-0.75
6.03,0.6398,5.77,1.0239,5.92,SOFI,5.99,91909,6,-1.13
473.09,0.3372,468.765,-0.3353,472.57,NOC,470.55,8040,0,0.0
268.83,0.7461,262.2,1.1148,267.58,NVDA,265.04,421598,0,-0.66
288.48,0.5743,283.69,-1.2766,286.14,MSFT,287.0,443406,0,-0.03
9.798,0.3345,8.68,-4.2689,8.97,CVNA,9.47,23324,0,-2.38
92.97,0.5911,90.5,-0.3692,91.75,AMD,91.82,456777,4,0.42
103.2013,0.7199,101.11,0.1074,102.51,AMZN,102.07,588482,0,1.69
222.11,0.6378,217.56,0.5174,221.49,META,217.88,512857,0,1.09
129.84,0.6373,127.31,0.1876,128.14,IBM,128.46,51371,1,-6.18
108.935,0.566,106.88,1.3404,108.87,GOOGL,106.89,160402,-1,0.94
166.32,0.6406,163.83,-0.2114,165.21,AAPL,164.59,877861,0,1.52
139.12,3.0765,134.9001,7.551,138.73,JPM,135.15,82946,0,5.63
