price,symbol,high,low,open,relvolume,percentchange,watchers,hourchange,sentiment
185.0,TSLA,186.28,182.01,183.95,0.5598,-0.4841,891435,9,0.43
31.89,INTC,32.235,31.69,32.0,0.4201,-0.747,131241,0,-1.3
5.92,SOFI,6.03,5.77,5.99,0.6398,1.0239,91900,1,-0.83
5.12,AMC,5.75,4.9,5.74,0.9005,-6.2271,413215,1,-0.66
286.14,MSFT,288.48,283.69,287.0,0.5743,-1.2766,443403,0,-0.17
472.57,NOC,473.09,468.765,470.55,0.3372,-0.3353,8040,0,0.0
267.58,NVDA,268.83,262.2,265.04,0.7461,1.1148,421602,5,-0.7
91.75,AMD,92.97,90.5,91.82,0.5911,-0.3692,456769,0,0.36
8.97,CVNA,9.798,8.68,9.47,0.3345,-4.2689,23325,0,-2.58
102.51,AMZN,103.2013,101.11,102.07,0.7199,0.1074,588478,5,0.97
221.49,META,222.11,217.56,217.88,0.6378,0.5174,512854,0,1.21
128.14,IBM,129.84,127.31,128.46,0.6373,0.1876,51370,0,-6.55
108.87,GOOGL,108.935,106.88,106.89,0.566,1.3404,160402,0,-0.3
138.73,JPM,139.12,134.9001,135.15,3.0765,7.551,82936,0,4.64
165.21,AAPL,166.32,163.83,164.59,0.6406,-0.2114,877859,4,1.16
208.9,ENPH,214.57,204.67,209.77,0.6939,-0.3767,37426,4,-3.37
127.87,EA,128.53,127.45,127.98,0.4028,-0.3196,20705,0,0.0
90.86,SONY,91.46,90.412,90.85,0.8867,0.4089,2088,0,0.0
