price,relvolume,high,low,open,symbol,percentchange,watchers,hourchange,sentiment
481.48,0.4496,483.31,475.77,475.74,NOC,1.409,8041,0,-17.86
288.3806,0.4196,291.6,287.02,291.57,MSFT,-0.1452,443604,5,4.12
275.69,0.9895,281.0802,275.02,275.335,NVDA,2.0998,421835,26,-0.18
226.86,0.669,231.31,222.23,225.43,ENPH,0.8625,37486,0,-0.4
218.325,0.2821,220.44,216.215,219.91,META,-0.2444,512936,2,-0.81
185.031,0.4523,187.69,183.5887,187.15,TSLA,-1.0741,891764,23,-0.76
166.675,0.502,167.41,165.65,166.1,AAPL,0.8745,878076,3,3.3
141.695,0.6273,141.725,139.03,140.27,JPM,1.3338,82988,3,0.28
129.01,0.3261,129.38,127.82,128.81,EA,0.7261,20706,0,0.0
128.15,0.3091,128.68,127.35,128.14,IBM,0.2582,51379,1,-1.59
104.75,0.452,106.515,104.4,106.49,GOOGL,-1.1513,160551,3,-0.88
102.04,0.4084,104.2,101.77,103.95,AMZN,-0.6813,588639,-1,1.99
91.18,0.5274,91.86,90.995,91.57,SONY,0.0329,2086,0,0.0
89.92,0.5849,92.16,89.63,91.61,AMD,0.0556,456867,6,0.88
31.975,0.3124,32.46,31.8,32.43,INTC,-0.5134,131275,3,0.32
8.935,0.2107,9.285,8.76,9.22,CVNA,-1.3797,23305,-3,-4.05
5.965,0.3462,6.02,5.895,6.0,SOFI,0.0839,91916,-1,-0.55
5.075,0.2748,5.212,4.98,5.23,AMC,-2.4038,413185,0,-2.03
