price,high,open,symbol,percentchange,relvolume,low,watchers,hourchange,sentiment
447.155,454.66,453.79,NOC,-0.4685,0.2986,447.155,8009,0,0.0
271.5462,274.95,274.88,MSFT,-0.2512,0.6492,269.53,441999,7,0.61
261.66,263.5,261.8,NVDA,1.027,0.771,253.82,419520,9,-1.29
206.3,208.825,196.93,ENPH,7.1633,0.9369,195.44,37215,-1,3.03
200.69,203.515,203.2,META,1.4559,0.7071,197.96,511799,2,1.29
195.91,196.35,188.28,TSLA,6.9086,0.6164,188.04,888942,6,0.33
158.69,159.1,157.32,AAPL,0.8196,0.5949,156.54,876116,0,1.41
130.415,131.73,130.59,JPM,2.5759,0.8479,130.19,82247,1,0.01
125.78,127.08,126.9,IBM,-0.127,0.3308,125.66,51323,0,2.26
114.22,114.91,113.11,EA,0.6166,0.4818,113.11,20731,0,25.0
104.375,105.0996,101.25,GOOGL,3.117,0.6516,101.22,159607,1,-1.05
99.9183,100.117,98.14,AMZN,2.2601,0.5101,98.0,586850,11,0.76
95.9998,99.46,97.0,AMD,-0.8369,1.1121,93.64,455984,7,-1.47
88.92,89.29,89.08,SONY,0.5655,0.5163,88.71,2079,0,0.0
28.145,29.165,29.0,INTC,-3.4808,0.7917,27.975,130848,3,0.45
7.81,8.09,7.19,CVNA,10.4668,0.2756,7.18,23276,-1,-1.32
5.5,5.51,5.35,SOFI,5.364,0.4956,5.3243,91592,1,-0.25
4.3909,4.445,4.33,AMC,2.8314,0.36,4.2115,411739,0,-0.13
