low,open,percentchange,relvolume,symbol,high,price,watchers,hourchange,sentiment
469.48,476.12,-1.15,0.3059,NOC,476.01,471.06,8039,0,5.0
281.64,285.75,-1.9247,0.6201,MSFT,285.87,283.82,443211,6,-2.33
271.26,277.235,-0.6781,0.4581,NVDA,277.89,273.92,421353,0,0.04
213.83,215.48,0.1164,0.3805,META,216.02,215.0,512715,-2,-1.26
193.14,195.9,0.9857,0.2688,ENPH,199.04,197.73,37410,0,-0.72
185.65,186.69,2.0432,0.5642,TSLA,189.19,188.28,891114,0,0.22
160.51,162.35,-0.2191,0.4691,AAPL,162.36,161.675,877573,1,-4.38
130.18,130.58,-0.0076,0.3275,IBM,131.07,131.02,51364,0,-1.19
127.54,128.3,0.5395,0.4975,JPM,128.93,128.58,82602,0,-0.76
124.74,125.13,0.3105,0.3229,EA,126.25,126.01,20704,0,-1.14
104.68,106.55,-0.5214,0.4597,GOOGL,106.73,105.885,160313,2,0.08
99.01,100.8,-1.8205,0.667,AMZN,100.99,100.31,588154,0,-5.74
92.7,96.06,-1.1624,0.6547,AMD,96.065,94.3701,456714,2,4.15
88.98,89.24,0.8022,0.3498,SONY,89.48,89.22,2089,0,0.0
32.45,32.66,-0.0154,0.3435,INTC,33.11,32.515,131223,2,-8.82
9.6,9.79,4.2965,0.6906,CVNA,10.8485,9.71,23332,0,13.79
5.86,5.91,0.846,0.4976,SOFI,6.0095,5.96,91914,-2,2.52
5.25,5.45,6.0115,0.7669,AMC,5.63,5.555,413156,1,4.16
